entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
longview-solutions,Longview Solutions,company,enterprise-performance-management,acquired,Exact Software (2007) -> Marlin Equity (2014) -> insightsoftware (2020),1994-present,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Markham Ontario; founded 1994; Edison Venture Capital fund 1995; still active as Longview by insightsoftware
aberdeen-group,Aberdeen Group,firm,market-research,acquired,Aberdeen (Harte-Hanks -> Spiceworks-Ziff Davis),1988-2014,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Boston MA; author of this profile
oracle,Oracle Corporation,company,database-software,active,,1977-present,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Competitor via Oracle Financials and Oracle Express 6.0; also RDBMS partner for Khalix
hyperion-software,Hyperion Software Corporation,company,enterprise-performance-management,acquired,Oracle (2007),1995-2007,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Direct competitor; formed from Arbor Software + IMRS merger 1998; acquired by Oracle for $3.3B
arbor-software,Arbor Software Corporation,company,business-intelligence,acquired,Hyperion Software (1998) -> Oracle (2007),1991-1998,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Maker of Essbase multidimensional engine; strong mindshare/marketing might as competitor
sas-institute,SAS Institute,company,analytics-software,active,,1976-present,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Less direct competitor; recent arrival in financial arena at time of study
cognos,Cognos Corporation,company,business-intelligence,acquired,IBM (2008),1969-2008,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Strategic partner via Cognos query/reporting market leadership; Longview partnership listed
edison-venture,Edison Venture Capital Fund,firm,venture-capital,active,,1986-present,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Funded Longview Solutions in October 1995; enabled US expansion
dodge-group,The Dodge Group Inc.,company,enterprise-software,unknown,,1990s,aberdeen-1996-khalix-financial-awareness-competitive-advantage,Longview strategic partner; client-server-based financial applications
microsoft,Microsoft Corporation,company,software,active,,1975-present,aberdeen-1996-khalix-financial-awareness-competitive-advantage,SQL Server listed as supported RDBMS for Khalix Financial Warehouse
