"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"SMARTSTREAM-DE","SmartStream Distributed Enterprise v4.0","ERP software","D&B Software","mid-1990s","growth","obsolete","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Full suite of line-of-business CSS for finance, manufacturing/distribution, procurement, HR, decision support. v4.0 based on Sybase 11.1, MS SQL Server 6.5, PowerBuilder 4.02, PowerPlay 4.1, MS Access 2.0. Abandoned by Geac after 1998 acquisition."
"SYBASE-REPSERVER","Sybase Replication Server","RDBMS / replication","Sybase","mid-1990s","growth","obsolete","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Used by SmartStream DE to propagate security and business process tables across distributed locations."
"POWERBUILDER","PowerSoft PowerBuilder","development tools","PowerSoft / Sybase","mid-1990s","mature","legacy","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Used by D&B Software for SmartStream DE application development. PowerSoft acquired by Sybase in 1994."
"SYBASE-SQL11","Sybase System 11.1","RDBMS","Sybase","mid-1990s","current","obsolete","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Underlying RDBMS for SmartStream DE v4.0; stored procedures and triggers central to architecture."
"MS-SQL-65","Microsoft SQL Server 6.5","RDBMS","Microsoft","mid-1990s","current","obsolete","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Co-primary RDBMS for SmartStream DE; SQL Server 6.5 released 1995."
"COGNOS-POWERPLAY","Cognos PowerPlay 4.1","decision support / OLAP","Cognos","mid-1990s","mature","legacy","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Used for decision support in SmartStream DE. Cognos acquired by IBM in 2008."
"MS-ACCESS","Microsoft Access 2.0","desktop database","Microsoft","mid-1990s","mature","legacy","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Used for query and reporting in SmartStream DE."
"WORKFLOW-TECH","Workflow Technology","BPM software","D&B Software","mid-1990s","growth","mature","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Three-form workflow: Production (Activity Manager), Administrative (Intelligent Agents), Ad Hoc. Aberdeen notes D&B pioneered integrated workflow vs. SAP/Oracle still developing theirs in 1996."
"DISTRIBUTED-CSS","Distributed Client/Server Architecture","application architecture","D&B Software","mid-1990s","growth","mature","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","SmartStream DE's server-centric two-tier architecture with distributed data via Sybase replication; business logic primarily server-based."
"ERP-CSS","Enterprise Resource Planning (ERP) / CSS","software category","multiple","mid-1990s","growth","mature","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Client/server ERP market contested by SAP, Oracle, PeopleSoft, D&B Software, SSA and others in 1996."
"MILLENNIUM-SERIES","D&B Software Millennium (M) Series","mainframe software","D&B Software","legacy","legacy","obsolete","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better","Legacy mainframe application suite; D&B Software committed to supporting as long as customer demand exists. 80%+ maintenance renewal rate."
