"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"2006-unisyswipro-rs-3747-a7e31e.001","2006-unisyswipro-rs-3747-a7e31e","wipro","offshore-outsourcing","strategy-classification","2006","primary-value-proposition","cost-savings","high","ingest-extraction","industry-analysis","1","Wipro customers' focus on cost savings was more than evident in the survey; cost savings cited as chief driver",""
"2006-unisyswipro-rs-3747-a7e31e.002","2006-unisyswipro-rs-3747-a7e31e","unisys","adm-outsourcing","strategy-classification","2006","primary-value-proposition","local-customer-care","high","outcome-linkage","industry-analysis","1","Unisys had lower emphasis on cost control with stronger local presence and fewer cultural gap concerns",""
"2006-unisyswipro-rs-3747-a7e31e.003","2006-unisyswipro-rs-3747-a7e31e","wipro","adm-outsourcing","benchmark-result","2006","top-challenge-rank-1","communication-cultural-gaps","high","ingest-extraction","field-research","1","Table 1: Wipro customers cited communication or cultural gaps with providers as their number one challenge",""
"2006-unisyswipro-rs-3747-a7e31e.004","2006-unisyswipro-rs-3747-a7e31e","wipro","adm-outsourcing","benchmark-result","2006","top-challenge-rank-2","securing-right-skill-set","high","ingest-extraction","field-research","1","Table 1: Wipro customers cited securing a provider with the right skill set as second challenge",""
"2006-unisyswipro-rs-3747-a7e31e.005","2006-unisyswipro-rs-3747-a7e31e","wipro","adm-outsourcing","benchmark-result","2006","top-challenge-rank-3","integration-testing-qa-effort","high","ingest-extraction","field-research","1","Table 1: Wipro customers cited integration testing and QA work took more effort than expected as third challenge",""
"2006-unisyswipro-rs-3747-a7e31e.006","2006-unisyswipro-rs-3747-a7e31e","unisys","adm-outsourcing","benchmark-result","2006","top-challenge-rank-1","integration-testing-qa-effort","high","ingest-extraction","field-research","1","Table 1: Unisys customers cited integration testing and QA work as their number one challenge",""
"2006-unisyswipro-rs-3747-a7e31e.007","2006-unisyswipro-rs-3747-a7e31e","unisys","adm-outsourcing","benchmark-result","2006","top-challenge-rank-2","communication-cultural-gaps","high","outcome-linkage","field-research","1","Table 1: Unisys customers cited communication or cultural gaps as their second challenge",""
"2006-unisyswipro-rs-3747-a7e31e.008","2006-unisyswipro-rs-3747-a7e31e","unisys","adm-outsourcing","benchmark-result","2006","top-challenge-rank-3","securing-right-skill-set","high","ingest-extraction","field-research","1","Table 1: Unisys customers cited securing a provider with the right skill set as their third challenge",""
"2006-unisyswipro-rs-3747-a7e31e.009","2006-unisyswipro-rs-3747-a7e31e","aberdeen-group","adm-outsourcing","benchmark-result","2006","overcome-challenge-pct-dedicated-mgmt-time","59%","high","ingest-extraction","field-research","2","Figure 1: 59% of respondents dedicated more management time and talent to overcome initial outsourcing challenges",""
"2006-unisyswipro-rs-3747-a7e31e.010","2006-unisyswipro-rs-3747-a7e31e","aberdeen-group","adm-outsourcing","benchmark-result","2006","overcome-challenge-pct-escalation","43%","high","ingest-extraction","field-research","2","Figure 1: 43% of respondents escalated to outsourcer's senior executive team to overcome challenges",""
"2006-unisyswipro-rs-3747-a7e31e.011","2006-unisyswipro-rs-3747-a7e31e","aberdeen-group","vendor-management-processes","benchmark-result","2006","overcome-challenge-pct-revised-vendor-mgmt","30%","high","outcome-linkage","field-research","2","Figure 1: 30% of respondents implemented new or revised vendor management processes",""
"2006-unisyswipro-rs-3747-a7e31e.012","2006-unisyswipro-rs-3747-a7e31e","wipro","adm-outsourcing","benchmark-result","2006","benefit-improved-version-control-pct","50%","high","ingest-extraction","field-research","2","Half of Wipro customers cited improved version control and lifecycle management as an outsourcing benefit",""
"2006-unisyswipro-rs-3747-a7e31e.013","2006-unisyswipro-rs-3747-a7e31e","unisys","vendor-management-processes","benchmark-result","2006","challenge-response","new-revised-vendor-mgmt-processes","high","outcome-linkage","field-research","2","Most Unisys customers said a key response to challenges was implementing new or revised vendor management processes",""
"2006-unisyswipro-rs-3747-a7e31e.014","2006-unisyswipro-rs-3747-a7e31e","aberdeen-group","vendor-management-processes","market-data","2006","vendor-mgmt-cost-expectation","higher-than-expected","high","outcome-linkage","field-research","2","Most companies said vendor management costs and effort were higher than they had expected",""
"2006-unisyswipro-rs-3747-a7e31e.015","2006-unisyswipro-rs-3747-a7e31e","unisys","hybrid-onshore-offshore","strategy-classification","2006","alliance-role","local-support-subcontractor","high","outcome-linkage","industry-analysis","2","Unisys provides local support: desktop/server maintenance desk-side support IMACs and tape exchanges at data centers",""
