obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
computerworld-ilm-waiting-2004-OBS-001,computerworld-ilm-waiting-2004,,,definition,2004,ILM definition,"Policy-driven management of information as it changes value throughout its life cycle; data and data sets migrate around a storage hierarchy based on enterprise storage policy.",high,expert-opinion,p.1,Core conceptual definition of ILM as published in Computerworld.
computerworld-ilm-waiting-2004-OBS-002,computerworld-ilm-waiting-2004,,ilm-software,viability-prediction,2004,ILM software maturity timeline,"Cross-application management software for integrated enterprise-wide ILM is 4-5 years away (circa 2008-2009)",high,expert-opinion,p.1,Key prescience data point. Proved correct — EMC Data Domain and NetApp ONTAP automated tiering mature by 2009-2011.
computerworld-ilm-waiting-2004-OBS-003,computerworld-ilm-waiting-2004,,ilm-software,actual-outcome,2009,ILM software maturity — actual outcome,EMC NetApp and HP all shipped mature automated tiering by 2009-2011 confirming the 2008-2010 window.,verified,industry-outcome,n/a,Outcome verified against prescience context provided. Prediction was accurate.
computerworld-ilm-waiting-2004-OBS-004,computerworld-ilm-waiting-2004,,,strategic-recommendation,2004,ILM adoption strategy,"Begin ILM adoption immediately using six-step recipe; waiting for software maturity is a poor approach",high,expert-opinion,p.1,Actionable recommendation framing the article's purpose.
computerworld-ilm-waiting-2004-OBS-005,computerworld-ilm-waiting-2004,,san,adoption-trend,2004,SAN affordability,"SANs supplemented with NAS are affordable now for even small enterprises",high,industry-analysis,p.1 Step 1,Marks the democratization of SAN technology by 2004.
computerworld-ilm-waiting-2004-OBS-006,computerworld-ilm-waiting-2004,,midline-disk,market-classification,2004,Four-pool storage model,"Online / Midline / Nearline / Offline — four standard pools increasingly adopted by IT professionals",high,expert-opinion,p.1 Step 1,The core ILM framework. Became industry standard architecture by ~2008.
computerworld-ilm-waiting-2004-OBS-007,computerworld-ilm-waiting-2004,,midline-disk,cost-benchmark,2004,Midline disk cost vs FC/SCSI,Midline (ATA/SATA) disks cost approximately 25% of FC/SCSI cost for moderate random access,high,industry-analysis,p.1 Step 1,Key economic driver for tiered storage adoption.
computerworld-ilm-waiting-2004-OBS-008,computerworld-ilm-waiting-2004,,midline-disk,market-size-estimate,2004,Enterprise data composition — semi-structured/unstructured,"More than half of enterprise data is semi-structured or unstructured and seldom changing — suited for midline tier",high,industry-analysis,p.1 Step 1,"Supports the business case for midline storage. Consistent with Wikibon 2011 finding that 85% of data moved to SATA/midline."
computerworld-ilm-waiting-2004-OBS-009,computerworld-ilm-waiting-2004,,,market-forecast,2004,Storage growth rate projection,Industry projections of storage growth at 45% per year driving huge swing toward reference data on midline disks,high,industry-analysis,p.1 Step 1,Growth projection validates urgency of ILM adoption.
computerworld-ilm-waiting-2004-OBS-010,computerworld-ilm-waiting-2004,,nearline-storage,viability-prediction,2004,Nearline disk-to-disk backup adoption,"Disk-to-disk backup and restore compresses backup times by up to 50%; disk library is successor to tape library",high,expert-opinion,p.1 Step 1,Proved exactly correct — disk backup libraries replaced tape as primary backup medium by ~2008-2010.
computerworld-ilm-waiting-2004-OBS-011,computerworld-ilm-waiting-2004,,nearline-storage,actual-outcome,2010,Nearline disk-to-disk backup — actual outcome,Disk backup libraries became primary nearline tier by 2008-2010; tape relegated to offline DR only as predicted.,verified,industry-outcome,n/a,"Nearline terminology persists in enterprise storage vocabulary today, confirming the prediction."
computerworld-ilm-waiting-2004-OBS-012,computerworld-ilm-waiting-2004,,tape-library,risk-assessment,2004,Offline tape litigation liability,"Offline tapes represent enormous liability in litigation; data retention policy adherence is critical",high,expert-opinion,p.1 Step 1,Compliance/legal dimension of ILM. Became a significant driver of formal data governance programs.
computerworld-ilm-waiting-2004-OBS-013,computerworld-ilm-waiting-2004,,,framework-component,2004,Data classification axes — Step 2,"Three axes: (1) type of data (structured/semi-structured/unstructured), (2) use/frequency of access, (3) storage pool assignment",high,expert-opinion,p.1 Step 2,Systematic data classification framework underpinning ILM policy creation.
computerworld-ilm-waiting-2004-OBS-014,computerworld-ilm-waiting-2004,,,taxonomy,2004,Structured data definition,"Structured data = database data that can be sorted; belongs in online pool",high,expert-opinion,p.1 Step 2,One of three data type categories in the ILM classification framework.
computerworld-ilm-waiting-2004-OBS-015,computerworld-ilm-waiting-2004,,,taxonomy,2004,Semi-structured data definition,"Semi-structured data = text information (e-mail, word processing documents) that can be searched; midline candidate",high,expert-opinion,p.1 Step 2,Semi-structured data as midline pool candidate — matches what later became the dominant use case for midline/SATA storage.
computerworld-ilm-waiting-2004-OBS-016,computerworld-ilm-waiting-2004,,,taxonomy,2004,Unstructured data definition,"Unstructured data = bit-mapped data (medical images, video, audio) that can be sensed; nearline/midline candidate",high,expert-opinion,p.1 Step 2,Unstructured data growth became the primary driver of midline/object storage expansion in subsequent decade.
computerworld-ilm-waiting-2004-OBS-017,computerworld-ilm-waiting-2004,,,strategic-recommendation,2004,ILM policy creation stakeholders,"Policy creation involves many enterprise interested parties — starting with legal — and will not be trivial",high,expert-opinion,p.1 Step 3,Identifies organizational complexity of ILM policy creation; accurate prediction of governance challenges that persist today.
computerworld-ilm-waiting-2004-OBS-018,computerworld-ilm-waiting-2004,,,framework-component,2004,Application refresh cycle assumption,"Every application platform changes within five years; no forced migration before its time is possible",high,expert-opinion,p.1 Step 4,Five-year refresh planning cycle underpins Step 4's application-level ILM migration strategy.
computerworld-ilm-waiting-2004-OBS-019,computerworld-ilm-waiting-2004,,storage-virtualization,viability-prediction,2004,Storage virtualization as ILM enabler,"Virtualization becoming embedded; automation reduces problem intervention demands on storage personnel",high,expert-opinion,p.1 Step 5,Storage virtualization and automated tiering did become standard features as predicted.
computerworld-ilm-waiting-2004-OBS-020,computerworld-ilm-waiting-2004,,storage-virtualization,actual-outcome,2010,Storage virtualization adoption — actual outcome,Storage virtualization and automated tiering became standard features in enterprise storage arrays by 2010.,verified,industry-outcome,n/a,Confirmed by broad market adoption of thin provisioning and auto-tiering (EMC FAST VP etc.).
computerworld-ilm-waiting-2004-OBS-021,computerworld-ilm-waiting-2004,,midline-disk,viability-prediction,2004,FC/SCSI growth moderation,"Growth in FC/SCSI will be modest as midline pool absorbs much of what was on expensive disks",high,expert-opinion,p.1 Step 5,Proved correct — SATA/midline became bulk data tier (Wikibon 2011: 85% of data at 40% of spend).
computerworld-ilm-waiting-2004-OBS-022,computerworld-ilm-waiting-2004,,midline-disk,actual-outcome,2011,Midline/SATA as bulk enterprise tier — actual outcome,"Wikibon 2011: 85% of enterprise data on SATA/midline drives representing only 40% of storage spend. FC growth moderated exactly as predicted.",verified,industry-outcome,n/a,One of the most accurate predictions in the article. Validates the entire midline framework.
computerworld-ilm-waiting-2004-OBS-023,computerworld-ilm-waiting-2004,,ilm-software,viability-prediction,2004,80% reduction in storage production hours,"As ILM-based policy management software matures circa 2008-2010, storage-related hours on production systems will be reduced by 80%",high,expert-opinion,p.1 Step 6,Dramatic efficiency claim. Automated storage tiering (EMC FAST VP etc.) delivered comparable efficiency gains.
computerworld-ilm-waiting-2004-OBS-024,computerworld-ilm-waiting-2004,,ilm-software,actual-outcome,2010,Storage admin productivity improvement — actual outcome,"Automated tiering reduced manual storage intervention significantly; 80% reduction in storage-related production hours broadly achieved per prescience context.",verified,industry-outcome,n/a,Prescience rating HIGH 8/10. The efficiency prediction proved directionally and quantitatively correct.
computerworld-ilm-waiting-2004-OBS-025,computerworld-ilm-waiting-2004,,ilm-software,constraint-observation,2004,ILM compliance sign-off timeline,"Full legal and audit compliance sign-off on automated ILM policy management will not occur before 2008-2010",high,expert-opinion,p.1 Step 6,Legal/compliance adoption lag prediction. Consistent with actual enterprise adoption patterns.
computerworld-ilm-waiting-2004-OBS-026,computerworld-ilm-waiting-2004,,,adoption-trend,2004,ILM storage growth context,"More storage will exist in 2010 than in 2004 even with 80% efficiency gain — growth overrides efficiency savings",high,expert-opinion,p.1 Step 6,Correctly predicted that storage volumes would keep growing even as efficiency improved — a persistent storage market dynamic.
computerworld-ilm-waiting-2004-OBS-027,computerworld-ilm-waiting-2004,aberdeen-group,,institutional-claim,2004,Aberdeen as ILM framework originator,"Aberdeen Group co-developed and published the four-pool storage model and midline terminology used in this article",high,expert-opinion,p.1,Establishes Aberdeen's intellectual property in the ILM/midline framework.
computerworld-ilm-waiting-2004-OBS-028,computerworld-ilm-waiting-2004,,oltp-storage,market-classification,2004,Online pool definition,"Online dynamic data: OLTP and high-activity DSS on FC/SCSI disks including structured database data; highest performance tier",high,expert-opinion,p.1 Step 1,Canonical definition of the online storage pool in the four-pool model.
computerworld-ilm-waiting-2004-OBS-029,computerworld-ilm-waiting-2004,,midline-disk,market-classification,2004,Midline pool definition,"Midline: capacity-oriented disks for active fixed content and compliance data; ~25% cost of FC/SCSI; moderate random access",high,expert-opinion,p.1 Step 1,Canonical definition of the midline pool; Aberdeen's key contribution to enterprise storage taxonomy.
computerworld-ilm-waiting-2004-OBS-030,computerworld-ilm-waiting-2004,,disk-to-disk-backup,market-classification,2004,Nearline pool definition,"Nearline buffered data: adds midline disk-to-disk backup and restore to existing tape pool; compresses backup times by up to 50%",high,expert-opinion,p.1 Step 1,Canonical definition of nearline pool. Disk-to-disk backup as nearline tier proved accurate.
computerworld-ilm-waiting-2004-OBS-031,computerworld-ilm-waiting-2004,,tape-library,market-classification,2004,Offline pool definition,"Offline data: offsite sequential tape for disaster recovery; no change from current practice; data retention liability risk",high,expert-opinion,p.1 Step 1,Tape offline tier remained the standard for DR backup as predicted — the one tier with no predicted disruption.
computerworld-ilm-waiting-2004-OBS-032,computerworld-ilm-waiting-2004,,,compliance-observation,2004,Compliance as ILM driver,Compliance data cited as a primary use case for the midline disk storage tier alongside fixed content,high,expert-opinion,p.1 Step 1,Compliance-driven storage became a major enterprise storage market segment through Sarbanes-Oxley era.
