"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","collection","notes"
"dors","Distributed Open Relational DBMS (DORS)","framework","Industry","1990s","emerging","rebranded","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing","Kastner-era Aberdeen framing"
"rdbms","Relational DBMS","platform","various","1980s-present","mature","mature","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"olap","Relational OLAP","platform","various","1990s-present","emerging","mature","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing","Next-gen DORS category"
"universal-server","Universal Server","platform","Informix/Oracle","1996-2005","emerging","succeeded","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing","Object-relational; Illustra-heritage at Informix"
"db2","IBM DB2","platform","IBM","1983-present","mature","mature","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"oracle-7","Oracle7","platform","Oracle","1992-1999","mature","succeeded","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"sybase-sql-server","Sybase SQL Server","platform","Sybase","1987-2010","mature","rebranded","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing","Became Sybase ASE"
"ms-sql-server","Microsoft SQL Server","platform","Microsoft","1989-present","mature","mature","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"informix-online","Informix OnLine","platform","Informix","1990s","mature","retired","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"ca-opening","CA-OpenIngres / CA-IDMS","platform","Computer Associates","1990s","mature","retired","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"progress-4gl","Progress 4GL","platform","Progress Software","1990s-present","mature","legacy-supported","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"adabas","Software AG Adabas","platform","Software AG","1971-present","mature","mature","aberdeen-dors-buying-guide-1996-web-5ee808","Aberdeen Outbound Marketing",""
"ibm-360-65","IBM System 360/65","platform","IBM","1966-1975","mature","legacy-end-of-life","volume-1-about-the-author","Kastner Memoir","Kastner operated Cornell's IBM System 360/65 and wrote some of the university's first commercial software on it."
"ibm-eliza","ELIZA","application","MIT","1964-1966","emerging","legacy-end-of-life","volume-1-about-the-author","Kastner Memoir","Being developed at MIT in the same building where Kastner trained as a computer operator in 1966."
"ibm-mainframe","IBM Mainframe","platform","IBM","1966-","mature","active","volume-1-about-the-author","Kastner Memoir","Kastner taught himself to program on IBM mainframes at MIT overnight at $360/hour on his operator account."
"ibm-system-88","IBM System 88","platform","IBM","1983-1990","growing","legacy-end-of-life","volume-1-about-the-author","Kastner Memoir","IBM OEM of Stratus fault-tolerant hardware; Kastner helped build the marketing for this product."
"fault-tolerant-computing","Fault-Tolerant Computing","platform","Stratus Computer","1981-1987","growing","active","volume-1-about-the-author","Kastner Memoir","Kastner spent six years marketing fault-tolerant computing at Stratus, competing against Tandem and IBM."
"dectp","DECtp","platform","Digital Equipment Corporation","1987-1992","emerging","legacy-end-of-life","volume-1-about-the-author","Kastner Memoir","Kastner led the DECtp initiative at DEC 1987-1988, including a secret midnight benchmark against IBM mainframes."
"benchmark-methodology","TPC Benchmark Methodology","framework","Transaction Processing Performance Council","1988-","emerging","active","volume-1-about-the-author","Kastner Memoir","Kastner was a founding member of TPC, which brought audited transparency to database performance claims."
"tco-modeling","TCO Modeling Frameworks","framework","Aberdeen Group","1988-2006","growing","active","volume-1-about-the-author","Kastner Memoir","Aberdeen's TCO modeling frameworks defined gold-standard enterprise technology research through the 1990s and early 2000s."
"power-line-carrier","Power-Line Carrier (Remote Meter Reading)","protocol","unknown","1970s","emerging","legacy-supported","volume-1-about-the-author","Kastner Memoir","Kastner consulted on a utility running remote meter reading over power lines at five baud."
"amr-automatic-meter-reading","Automatic Meter Reading","application","unknown","1970s","emerging","active","volume-1-about-the-author","Kastner Memoir","Technology used by a utility client of Arthur D. Little Systems; data transmitted at five baud over power lines."
"ibm-360-65","IBM System/360 Model 65","platform","IBM","1966-1968","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Kastner operated IBM 360/65 at MIT and Cornell; ran SysGen at Cornell."
"fortran","FORTRAN","language","IBM / ANSI","1966-1973","growing","legacy-supported","volume-1-appendix-career-timeline","Kastner Memoir","Kastner self-taught FORTRAN at MIT as computer operator."
"assembler","IBM Assembler","language","IBM","1966-1973","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Kastner self-taught assembler at MIT alongside FORTRAN."
"ibm-eliza","ELIZA (conversational AI program)","application","MIT","1966-1967","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Kastner encountered ELIZA during his MIT computer operator period; early AI exposure."
"cosmos-application-package","Cosmos/CAS Code Generator","application","PHI / internal","1969-1973","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Code generator developed during Kastner's time at PHI; notable early automation tool."
"fault-tolerant-computing","Fault-Tolerant Computing","platform","Stratus / Tandem / IBM","1981-1987","growing","legacy-supported","volume-1-appendix-career-timeline","Kastner Memoir","Stratus Pair-and-Spare architecture; IBM OEM System 88; competitive with Tandem NonStop."
"ibm-system-88","IBM System/88","platform","IBM (OEM from Stratus)","1981-1987","growing","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","OEM fault-tolerant system produced by Stratus and sold under IBM branding."
"dectp","DECtp (DEC Transaction Processing)","platform","DEC","1987-1988","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Described by DEC as 'most important launch after VAX.' Kastner led the launch."
"ibm-3090","IBM 3090 Mainframe","platform","IBM","1987-1988","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Target of secret DEC blind benchmark; IBM responded with DB2 v2."
