"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-001","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","windows-nt-server","strategy-classification","1996","NCR NT enterprise strategy","RAS-augmentation: add enterprise-grade HA/clustering/TP-monitor on top of NT","high","ingest-extraction","industry-analysis","Executive Summary","NCR differentiates from plain NT via LifeKeeper, TOP END, WorldMark, and NMC4000 management tools"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-002","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","ncr-lifekeeper","technology-assessment","1996","LifeKeeper failover capability","Automatic failover in 2 seconds to 5 minutes; up to 3-node NT cluster","high","ingest-extraction","field-research","LifeKeeper and TOP END section","Users confirmed no-downtime application upgrades via LifeKeeper live migration"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-003","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","ncr-top-end","technology-assessment","1996","TOP END transaction routing","Redirects client transactions around failed servers, apps, or network nodes","high","ingest-extraction","field-research","LifeKeeper and TOP END section","Users described TOP END as 'client-server software-equivalent for fault-tolerant OLTP on NT'"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-004","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","windows-nt-server","benchmark-result","1995","RAD schedule reduction","20-25% reduction in OLTP application deployment time; some sites reported 50%","medium","ingest-extraction","field-research","NCR's Impact: Rapid Application Deployment","RAD = Rapid Application Deployment; NCR users confirmed faster deployment using component-level testing with LifeKeeper harness"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-005","aberdeen-1996-ncr-fail-safe-enterprise-nt","microsoft","windows-nt-server","market-data","1996","SQL Server cost advantage vs alternatives","Microsoft SQL Server 6.5 on NT up to 90% less costly than Unix/OpenVMS/MVS RDBMS alternatives","medium","ingest-extraction","competitive-profiling","Enterprise NT: The Benefits","Total cost comparison cited by IS decision-makers; vendor-reported figure"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-006","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","windows-nt-server","viability-prediction","1996","NT SMP scalability roadmap","NT/SQL Server to scale to 8 CPUs with NT Server 4.0 (fall 1996); 12-16 CPUs by mid-1997","verified","outcome-linkage","industry-analysis","NCR and Microsoft: Scalability","NCR and Microsoft joint roadmap prediction; based on NCR engineering collaboration with Microsoft"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-007","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","windows-nt-server","actual-outcome","1997","NT SMP scalability achieved","Windows NT Server 4.0 Enterprise Edition (Sept 1997) supported 8-way SMP clustering; SQL Server 7.0 (1998) supported 8+ CPUs","verified","web-source","document-review","Post-publication verification","NT 4.0 EE released Sept 1997 with clustering; prediction partially accurate - 8 CPU target met, 16-CPU timeline slightly delayed"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-008","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","ncr-smp-utilization-manager","viability-prediction","1996","SMP Utilization Manager release","NCR to introduce SMP Utilization Manager for NT in 1996 for 16-way WorldMark systems","medium","ingest-extraction","industry-analysis","Multiprocessor Workload Balancing","Planned product announcement; allows IS to assign apps to specific CPUs on large SMP"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-009","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","ncr-smp-utilization-manager","actual-outcome","1997","SMP Utilization Manager actual delivery","NCR delivered SMP management tools; absorbed into later Teradata and NT product lines; specific 'Utilization Manager' branding not widely documented post-1997","medium","ingest-extraction","document-review","Post-publication verification","Product likely shipped but NCR's hardware server line transitioned as NT evolved; verification limited"
"aberdeen-1996-ncr-fail-safe-enterprise-nt-OBS-010","aberdeen-1996-ncr-fail-safe-enterprise-nt","ncr-corporation","teradata-data-warehouse","viability-prediction","1996","NT data mart market entry","NCR to provide NT-based data mart solutions starting with NT Server 4.0; data-mart-up/down routing to Teradata","verified","outcome-linkage","industry-analysis","The Future: Data Marts for NT","NCR planned to leverage Teradata expertise for NT departmental data marts"
