"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"composite-applications","Composite Applications","application-architecture","vendor-neutral","2000s","emerging","mature","ra-composite-apps-289c2f","Applications built by combining functionality/data from multiple IT sources using web services; rapidly becoming development standard of choice"
"enterprise-service-bus","Enterprise Service Bus (ESB)","middleware","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","SOA infrastructure middleware; 56% of survey respondents have or planning; mandatory for Enterprise SOA approach; 71% of large companies investing"
"xml-soap-ws-star","XML/SOAP/WS-* Standards","standards","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","Web services standards used to build composite applications; enables cost- and time-effective application integration vs older approaches"
"soa-registry-repository","SOA Repository/Registry","middleware","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","SOA middleware component; 40% of respondents have or planning; enables service discovery and governance"
"soa-security-middleware","SOA Security Middleware","middleware","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","34% of survey respondents have or planning; critical for mission-critical SOA"
"soa-governance-middleware","SOA Governance Middleware","middleware","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","28% of respondents have or planning; required for Enterprise SOA"
"soa-management-middleware","SOA Management Middleware","middleware","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","25% of respondents have or planning; operational management of SOA infrastructure"
"soa-hardware-accelerators","SOA Hardware Accelerators","hardware","vendor-neutral","2000s","niche","legacy","ra-composite-apps-289c2f","22% of respondents have or planning; XML acceleration hardware for SOA"
"eclipse-ide","Eclipse IDE","development-tool","IBM/open-source","2000s","growth","mature","ra-composite-apps-289c2f","Java-based interactive development environment; preferred by organizations integrating composite apps into SOA middleware suites"
"bpel","BPEL (Business Process Execution Language)","standards","vendor-neutral","2000s","growth","legacy","ra-composite-apps-289c2f","SOA standard for business process orchestration; part of WS-* standards family used in composite app development"
"java-j2ee","Java/J2EE","platform","Sun/vendor-neutral","2000s","mature","mature","ra-composite-apps-289c2f","Java-based development toolsets dominant for SOA middleware integration; cross-platform composite development"
"microsoft-dotnet","Microsoft .NET","platform","Microsoft","2000s","growth","mature","ra-composite-apps-289c2f","Windows .NET used for cross-platform composite development tools generating Java and Windows code"
"legacy-application-modernization","Legacy Application Modernization","methodology","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","Extending/surrounding legacy apps with SOA middleware; automated technology to extract logic and data for migration"
"master-data-management","Master Data Management (MDM)","data-management","vendor-neutral","2000s","emerging","mature","ra-composite-apps-289c2f","Reducing duplicative data; making data widely available for SOA services; part of Information as a Service approach"
"browser-portal-applications","Browser-Based and Portal Applications","application-type","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","Most common first deliverable for composite applications across all company segments (Best in Class, Industry Average, Laggards)"
"itko-lisa","iTKO LISA Complete SOA Test Platform","testing","iTKO","2000s","niche","legacy","ra-composite-apps-289c2f","SOA testing platform; performs unit, functional, regression, load, performance tests; supports web apps, web services, J2EE, .NET, Java, ESB, databases"
"ajax-ria","Ajax/RIA (Rich Internet Applications)","web-technology","vendor-neutral","2000s","growth","mature","ra-composite-apps-289c2f","Nexaweb Enterprise Web 2.0; Ajax and Java UI applications accessing legacy and SOA systems in unified XML declarative environment"
