"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"tpcbench92-139998-OBS-001","tpcbench92-139998","tpc","tpc-benchmark","career-fact","1988","TPC founding","Founded 1988 with Aberdeen principal help; independent supplier-sponsored benchmarking standards body","high","document-record","1",""
"tpcbench92-139998-OBS-002","tpcbench92-139998","tpc","tpc-benchmark","product-feature","1992","TPC benchmark suite as of 1992","TPC-A (TP), TPC-B (database), TPC-C (coming - WIC)","high","document-record","1","Three benchmarks"
"tpcbench92-139998-OBS-003","tpcbench92-139998","tpc","tpc-benchmark","product-feature","1992","TPC-A standard configuration requirements","5-year LCS; 10 user terminals per TPS; costs grow as users grow (terminals + history storage); FDC required","high","document-record","1",""
"tpcbench92-139998-OBS-004","tpcbench92-139998","tpc","tpc-benchmark","strategic-assessment","1992","TPC strategic role","Primary vehicle for commercial system price and performance competition","high","expert-commentary","1",""
"tpcbench92-139998-OBS-005","tpcbench92-139998","tpc","tpc-benchmark","strategic-assessment","1992","TPC competitive dynamic","King for a day: weekly jockeying for best position; beware of out-of-date information","high","expert-commentary","1",""
"tpcbench92-139998-OBS-006","tpcbench92-139998","hewlett-packard","digital-vax","benchmark-result","1990","HP TPC-A price/performance (January 1990)","38.2 TPS at $36.50/TPS-A; $1.39M system","high","benchmark-data","1","Figure 1 data point"
"tpcbench92-139998-OBS-007","tpcbench92-139998","digital-equipment","digital-vax","benchmark-result","1992","DEC TPC-A price/performance (March 1992)","27.9 TPS at $7.69/TPS-A; $214K system (27 months after HP Jan-1990 result)","high","benchmark-data","1","Figure 1 data point; dramatic price-performance improvement"
"tpcbench92-139998-OBS-008","tpcbench92-139998","aberdeen-group","tpc-benchmark","benchmark-result","1992","Q1-1992 TPC-A average price/performance","Averaging $9K per TPS-A; Digital VAX 6000 best price/performer in 10-200 TPS range","high","benchmark-analysis","1","Figure 2; trend toward upper left (lower cost, higher perf)"
"tpcbench92-139998-OBS-009","tpcbench92-139998","digital-equipment","digital-vax","benchmark-result","1992","Digital VAX 4000-300 price/performance improvement","$31.90/TPS-A in October 1990 to $10.71/TPS-A in March 1992; 50% improvement in 18 months","high","benchmark-data","1","Figure 3"
"tpcbench92-139998-OBS-010","tpcbench92-139998","digital-equipment","digital-vax","strategic-assessment","1992","DEC TPC-A pricing strategy","Aggressive pricing to TPC p/p; cost per TPS stable as performance rises; rationalizes VAX pricing; VAX 6640 actually lower cost than 6410","high","expert-commentary","1","Figure 4; Digital 'marking to the market'"
"tpcbench92-139998-OBS-011","tpcbench92-139998","hewlett-packard","hp-ux","strategic-assessment","1992","HP TPC-A competitive positioning","Growing from timesharing to OLTP contender; maturing Unix and ALLBASE/SQL; rationalizing HP/UX vs. MPE pricing","high","expert-commentary","1","Figure 5"
"tpcbench92-139998-OBS-012","tpcbench92-139998","ibm","rs6000","benchmark-result","1992","IBM RS/6000 550 TPC-A improvement (January 1992)","18% p/p improvement due to new models; 59% better performance due to maturing AIX","high","benchmark-data","1","Figure 6"
"tpcbench92-139998-OBS-013","tpcbench92-139998","ibm","as400","benchmark-result","1992","IBM AS/400 x70 series TPC-A improvement","83% p/p improvement from B to D to E70 series (April 1991 to February 1992) at $17.59/TPS; not flat - more performance costs more per unit","high","benchmark-data","1","Figures 7-8"
"tpcbench92-139998-OBS-014","tpcbench92-139998","ibm","ibm-mainframe-zarch","strategic-assessment","1992","IBM mainframe TPC-A absence","IBM mainframes missing in action; IBM said 'not appropriate' but Unisys ran one; TPC forbids estimation; IBM has enough problems selling S/390s","high","expert-commentary","1","Implied significance: readers can draw their own conclusions"
"tpcbench92-139998-OBS-015","tpcbench92-139998","unisys","ibm-mainframe-zarch","benchmark-result","1992","Unisys mainframe TPC participation","Unisys ran a mainframe-class system on TPC despite IBM's 'not appropriate' stance","high","document-record","1",""
"tpcbench92-139998-OBS-016","tpcbench92-139998","sun-microsystems","sybase-sql-server","strategic-assessment","1992","Sun SPARC/Sybase TPC participation","Sun SPARC with Sybase SQL Server participating in TPC competition","high","document-record","1","Part of 'rest of market' analysis alongside Bull DPX/2 and Data General"
"tpcbench92-139998-OBS-017","tpcbench92-139998","aberdeen-group","tpc-benchmark","recommendation","1992","Buyer TPC-A guidance","TPC-A is valid p and p/p compare; enough results for valid sample; ask for results; write into RFPs; hire auditor; use latest results","high","expert-commentary","1","Conclusions section"
"tpcbench92-139998-OBS-018","tpcbench92-139998","aberdeen-group","tpc-benchmark","expert-opinion","1992","TPC competition benefit to buyers","Buyers will benefit from supplier competition; competition breeds better price and performance","high","expert-commentary","1",""
"tpcbench92-139998-OBS-019","tpcbench92-139998","aberdeen-group","tpc-benchmark","viability-prediction","1992","Supplier TPC optimization forecast","Suppliers are aggressively optimizing price and performance","high","expert-commentary","1",""
"tpcbench92-139998-OBS-020","tpcbench92-139998","aberdeen-group","tpc-benchmark","actual-outcome","1993","Supplier TPC optimization - outcome","unknown","medium","unknown","unknown","Deferred outcome for supplier optimization prediction"
"tpcbench92-139998-OBS-021","tpcbench92-139998","tpc","tpc-c","product-feature","1992","TPC-C status","Coming benchmark (TPC-C WIC) announced but not yet published","high","document-record","1","WIC = workload in context"
