"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ibm-as400","IBM AS/400","enterprise-suite","","","mature","legacy-supported","kastner-ie-v-andersen-expert-report-3de98a","Mid-range platform; RPG-based; now IBM i — still active in distribution"
"hp-3000","HP 3000","enterprise-suite","","","declining","obsolete","kastner-ie-v-andersen-expert-report-3de98a","HP announced end-of-life 2003; discontinued 2008"
"msd","MSD (Distribution Software)","point-solution","","","mature","obsolete","kastner-ie-v-andersen-expert-report-3de98a","MTI product; RPG-based on AS/400; IE's core distribution system"
"client-server","Client-Server Architecture","development-paradigm","","","emerging","mature","kastner-ie-v-andersen-expert-report-3de98a","Replacing mainframe/minicomputer model in mid-1990s"
"sap-r3","SAP R/3","enterprise-suite","","","emerging","active","kastner-ie-v-andersen-expert-report-3de98a","ERP system; now evolved to S/4HANA; IE evaluated but did not adopt"
"smartstream","SmartStream (D&B)","point-solution","","","emerging","obsolete","kastner-ie-v-andersen-expert-report-3de98a","Financial software; Dun & Bradstreet product; discontinued"
"asf","Application Software Factory (Andersen)","development-paradigm","","","emerging","obsolete","kastner-ie-v-andersen-expert-report-3de98a","Andersen Consulting proprietary development methodology"
"rpg","RPG Programming Language","development-paradigm","","","mature","legacy-supported","kastner-ie-v-andersen-expert-report-3de98a","IBM mid-range language; still used on IBM i platform"
"telxon-rf","Telxon RF Warehouse Systems","point-solution","","","mature","obsolete","kastner-ie-v-andersen-expert-report-3de98a","RF warehouse technology; Telxon acquired by Symbol Technologies 1999; then Zebra 2014"
"erp-integration","ERP Integration Platforms","integration-technology","","","emerging","mature","kastner-ie-v-andersen-expert-report-3de98a","Middleware and integration approaches for connecting enterprise systems"
