"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"e90-01","Bull S.A. (Groupe Bull)","company","computer-hardware-software","active","Part of Atos group; Bull brand still used","1931-present","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","French IT company; survey commissioned by Bull Corporate Strategy & Marketing."
"e90-02","Aberdeen Group","consulting-firm","IT-research-consulting","dissolved","Acquired by Harte-Hanks 2001","1988-2001","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Survey conducted from Aberdeen's Boston office at 92 State Street."
"e90-03","Ingres Corporation (RTI)","company","database-software","dissolved","ASK Group (1990) -> Computer Associates (1994) -> Ingres Corp (2005) -> Actian Corporation (2011)","1980-2011","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Originally Relational Technology Inc (RTI); preferred RDBMS per Aberdeen survey. Became Actian in 2011."
"e90-04","Sybase Inc.","company","database-software","dissolved","Acquired by SAP for $5.8B in 2010 (completed July 2010)","1984-2010","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Founded 1984; won customers through high-performance OLTP vision; acquired by SAP 2010."
"e90-05","Oracle Corporation","company","database-software","active","","1977-present","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Not surveyed directly; volunteered as rejected by almost every contact due to architectural weaknesses for OLTP."
"e90-06","Salomon Brothers","company","financial-services","dissolved","Merged into Travelers Group/Citigroup 1997; Salomon Smith Barney dissolved 2003","1910-2003","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Sybase customer; Aberdeen interview revealed Salomon wished it had chosen Ingres instead."
"e90-07","Chase Manhattan Bank","company","financial-services","dissolved","Merged with J.P. Morgan 2000 to form JPMorgan Chase","1799-2000","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Ingres customer surveyed; financial institution seeking high-performance OLTP."
"e90-08","Sanford C. Bernstein & Co.","company","financial-services","active","AllianceBernstein (merged with Alliance Capital 2000)","1967-present","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Sybase customer surveyed; investment management firm."
"e90-09","Stratus Computer","company","computer-hardware","active","Renamed to Stratus Technologies; acquired by Everett Equity Partners 2020","1980-present","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Sybase customer and Oracle/Sybase reseller; needed Stratus OS and multiprocessor support from Sybase."
"e90-10","Polaroid Corporation","company","manufacturing","dissolved","Bankruptcy 2001; brand acquired by various entities","1937-2001","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Ingres customer surveyed; manufacturer using RDBMS for high-performance application."
"e90-11","Bowater Paper","company","manufacturing","dissolved","Merged with AbitibiBowater 2007; Resolute Forest Products 2011","1881-2007","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Ingres customer surveyed; paper manufacturer."
"e90-12","ATD - American Company","company","wholesale-distribution","unknown","","1980s","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Sybase customer; wanted Fortex support from Sybase."
"e90-13","Applied Systems Engineering (ASE)","company","IT-consulting","unknown","","1980s-1990s","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Corning Glass Works application development consultant; Ingres customer."
"e90-14","Hill A&E / Artsoft","company","software-development","unknown","","1980s","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Sybase customer; geographically proximate to Sybase; needed special front-end graphics support."
"e90-15","Sun Microsystems","company","computer-hardware","dissolved","Acquired by Oracle 2010","1982-2010","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Primary development platform for initial Sybase releases; Sybase advised customers to develop on Sun first."
