code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's long-term survival
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity
technology-assessment,observation_type,Technology Assessment,Evaluation of a technology's maturity or fitness
benchmark-result,observation_type,Benchmark Result,Quantitative comparison against peers or standards
framework-factor,observation_type,Framework Factor,One component of a multi-factor analytical framework
market-data,observation_type,Market Data,Quantitative market statistic
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment
personal-recollection,observation_type,Personal Recollection,First-person memory or anecdote from Kastner
ai-exchange,observation_type,AI Exchange,A question posed by Kastner and the AI response extracted as a structured observation
topic-insight,observation_type,Topic Insight,An analytical claim or framework point within a technology topic deep-dive
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and dynamics
competitive-profiling,methodology,Competitive Profiling,Detailed comparison of competing entities
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers
field-research,methodology,Field Research,Primary data collection via interviews or surveys
document-review,methodology,Document Review,Analysis of existing documents and records
statistical-analysis,methodology,Statistical Analysis,Quantitative data analysis with statistical methods
oral-history,methodology,Oral History,First-person spoken or written recollection of events
ai-dialog,methodology,AI Dialog,Question-and-answer exchange between a human and an AI system
high,confidence,High Confidence,Strong evidentiary basis; multiple corroborating sources
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration
low,confidence,Low Confidence,Directional judgment with limited evidence
verified,confidence,Verified,Confirmed by subsequent events or independent sources
org-fact,observation_type,Org Fact,Study-specific code: org-fact
primary-doc,methodology,Primary Doc,Study-specific code: primary-doc
strategic-positioning,observation_type,Strategic Positioning,Study-specific code: strategic-positioning
business-model,observation_type,Business Model,Study-specific code: business-model
market-segment,observation_type,Market Segment,Study-specific code: market-segment
product-description,observation_type,Product Description,Study-specific code: product-description
competitive-assessment,observation_type,Competitive Assessment,Study-specific code: competitive-assessment
distribution-model,observation_type,Distribution Model,Study-specific code: distribution-model
editorial-policy,observation_type,Editorial Policy,Study-specific code: editorial-policy
methodology,observation_type,Methodology,Study-specific code: methodology
market-timing,observation_type,Market Timing,Study-specific code: market-timing
demand-driver,observation_type,Demand Driver,Study-specific code: demand-driver
training-content,observation_type,Training Content,Study-specific code: training-content
supplier-market,observation_type,Supplier Market,Study-specific code: supplier-market
investor-market,observation_type,Investor Market,Study-specific code: investor-market
competitor-profile,observation_type,Competitor Profile,Study-specific code: competitor-profile
training-objective,observation_type,Training Objective,Study-specific code: training-objective
new-market-approach,observation_type,New Market Approach,Study-specific code: new-market-approach
existing-market-approach,observation_type,Existing Market Approach,Study-specific code: existing-market-approach
business-development,observation_type,Business Development,Study-specific code: business-development
