"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-001","letter-to-sanjay-kumar-ca-world-2001-d60b1b","peter-kastner","","role-definition","2001","Kastner role 2001","Signed as 'Founder and Chief Research Officer', Aberdeen Group.","verified","document-review","p1","Title progression: EVP (1998) -> Founder & CRO (2001)."
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-002","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","qualitative-assessment","2001","CA analyst-relations team quality","Aberdeen rated CA's analyst-relations team as 'at the top of the industry'; Debra Cattani leading, Janice Thomas providing 'superlative' day-to-day support.","high","expert-opinion","p1",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-003","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","qualitative-assessment","2001","CA customer satisfaction trajectory","CA customers 'more satisfied today than at any time since I started following CA in 1992' — Kastner nine-year perspective.","high","expert-opinion","p1",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-004","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","qualitative-assessment","2001","'CA animosity factor' reduced","Long-standing CA reputation problem with customers was substantially reduced by mid-2001.","high","expert-opinion","p1",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-005","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","analytical-finding","2001","Press lag vs customer reality","Uninformed press still operating from 'old, bad CA' mindset; Kastner recommends quietly focused PR campaign to mitigate over time.","high","expert-opinion","p1",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-006","letter-to-sanjay-kumar-ca-world-2001-d60b1b","ranger-governance","","viability-prediction","2001","Ranger proxy contest outcome prediction","'The Ranger situation is a non-starter with customers' — Kastner predicting Ranger would fail to gain customer traction in the CA proxy fight.","high","expert-opinion","p2",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-007","letter-to-sanjay-kumar-ca-world-2001-d60b1b","ranger-governance","","actual-outcome","2001","Ranger proxy contest actual outcome","Ranger Governance lost the August 2001 CA proxy contest (~73% of shareholders voted with CA management).","verified","retrospective-grading","","Kastner prediction confirmed within weeks."
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-008","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","analytical-finding","2001","CA World 2001 branding assessment","The '3x6 theme' (six business values across three market segments) produced cohesive branding across executive presentations, show floor, press conferences; 'something for everyone'; energized sales force and channel partners.","high","expert-opinion","p2",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-009","letter-to-sanjay-kumar-ca-world-2001-d60b1b","computer-associates","","strategic-finding","2001","CA momentum framing","'The 'new CA' gathering momentum — and I mean that in the physics sense.' Kastner used the physics metaphor (mass x velocity) deliberately.","high","expert-opinion","p2",""
"letter-to-sanjay-kumar-ca-world-2001-d60b1b-OBS-010","letter-to-sanjay-kumar-ca-world-2001-d60b1b","sanjay-kumar","","qualitative-assessment","2001","Kastner-Kumar relationship","'I look forward to speaking with you soon' — direct-access relationship between Aberdeen CRO and CA CEO.","high","document-review","p2","Pre-scandal direct-relationship evidence."
