"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"business-value-outsourcing-57ce57-obs-001","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO driver - core competency","Focusing on core competencies: decision that IT excellence is best achieved by an outsider","high","benchmark-survey","1","First of five ITO drivers tracked by Aberdeen since 2004."
"business-value-outsourcing-57ce57-obs-002","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO driver - cost savings","Saving money: most expected benefit; palming off dysfunctional IT on naïve outsourcer is a pipe dream","high","benchmark-survey","1","Second ITO driver. Kastner's candid assessment of unrealistic cost-saving expectations."
"business-value-outsourcing-57ce57-obs-003","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO driver - resource constraints","IT resource constraints: lack of talent, costly talent, staff turnover, wrong skill-sets","high","benchmark-survey","1","Third ITO driver tracked since 2004."
"business-value-outsourcing-57ce57-obs-004","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO driver - time to market","Time-to-market concern in highly competitive industries where IT agility is critical","high","benchmark-survey","1","Fourth ITO driver. Outsourcer size, skills, agility often cited."
"business-value-outsourcing-57ce57-obs-005","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO driver - culture wars","Culture wars: LOB management fed up with IT intransigence; outsourcing as 'blow it up' nuclear option","high","benchmark-survey","1","Fifth ITO driver. Kastner's characterization of organizational conflict as outsourcing catalyst."
"business-value-outsourcing-57ce57-obs-006","business-value-outsourcing-57ce57","peter-kastner","it-outsourcing-general","claim","2006","Misaligned ITO engagements hypothesis","Up to 30% of IT outsourcing engagements seriously misaligned; customers may not realize it","medium","hypothesis","2","Kastner hypothesis to be tested in June 2006 benchmark. Misalignment from scope ambiguity, inaccurate metrics, business change."
"business-value-outsourcing-57ce57-obs-007","business-value-outsourcing-57ce57","peter-kastner","it-outsourcing-general","claim","2006","Sub-optimal ITO contracts hypothesis","50-67% of IT outsourcing contracts running at sub-optimal levels","medium","hypothesis","3","Kastner hypothesis: majority of ITO engagements underperform. Range 50-67%."
"business-value-outsourcing-57ce57-obs-008","business-value-outsourcing-57ce57","peter-kastner","it-outsourcing-general","claim","2006","High-value ITO contracts","Only 5-10% of multi-million dollar IT outsourcing agreements drive all anticipated business value","medium","hypothesis","3","Kastner hypothesis: elite minority of ITO contracts deliver on full business value promise."
"business-value-outsourcing-57ce57-obs-009","business-value-outsourcing-57ce57","aberdeen-group","it-maturity-model","metric","2006","Best-in-Class ROI measurement","50% of Best-in-Class measure ROI after every application change vs. 25% for Laggards","high","benchmark-survey","2","Figure 1 data. Source: AberdeenGroup, Achieving More Value from Enterprise Integration, May 2006."
"business-value-outsourcing-57ce57-obs-010","business-value-outsourcing-57ce57","aberdeen-group","it-maturity-model","metric","2006","IT maturity distribution","Best-in-Class: 20% of respondents; Average: 50%; Laggard: 30%","high","benchmark-survey","2","Aberdeen IT maturity model distribution from Figure 1."
"business-value-outsourcing-57ce57-obs-011","business-value-outsourcing-57ce57","aberdeen-group","sla-management","finding","2006","ITO failure factors - SLA","Poor choices in metrics and SLAs, confusing low cost with value delivered, inflexible contract language","high","benchmark-survey","1","Outsourcing customer complaints leading to buyer's remorse."
"business-value-outsourcing-57ce57-obs-012","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","Aberdeen ITO tracking since","Aberdeen tracking IT planning and outsourcing issues quantitatively since 2004","high","self-reported","1","Establishes Aberdeen's longitudinal tracking baseline for ITO research."
"business-value-outsourcing-57ce57-obs-013","business-value-outsourcing-57ce57","aberdeen-group","it-maturity-model","finding","2006","Aberdeen IT survey scale","Over 2,000 companies surveyed on IT in past two years","high","self-reported","4","Aberdeen ITO research data foundation as of May 2006."
"business-value-outsourcing-57ce57-obs-014","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","finding","2006","ITO make-or-buy gap","Many enterprises have never done a serious make-or-buy outsourcing decision on any IT segment","high","benchmark-survey","1","Kastner research question: what inhibits enterprises from seriously evaluating IT outsourcing?"
"business-value-outsourcing-57ce57-obs-015","business-value-outsourcing-57ce57","peter-kastner","it-outsourcing-general","claim","2006","Outsourcing lesson universality","Cannot name a single company that has outsourced IT and not learned painful lessons","high","qualitative","2","Kastner's universal observation on ITO learning curve."
"business-value-outsourcing-57ce57-obs-016","business-value-outsourcing-57ce57","aberdeen-group","sla-management","recommendation","2006","ITO sub-optimal probing dimensions","SLAs, governance, preparation, transition, operations, change management, pricing, conflict resolution, metrics","high","research-design","3","Nine dimensions Aberdeen will probe to assess ITO sub-optimality."
"business-value-outsourcing-57ce57-obs-017","business-value-outsourcing-57ce57","aberdeen-group","it-outsourcing-general","market-context","2006","ITO benchmark scope","Report will benchmark all-size companies in Global 5000 across all industries","high","research-design","4","Planned scope of June 2006 Aberdeen ITO benchmark report."
