"query","candidate_slug","surfaced_by","max_sim","relevant"
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server-1992","both","0.7871","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-nti-12-client-server-goals-1993-15a519","both","0.7502","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-trends-90s-logan-1991-648c68","both","0.7368","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","quote-946","candidate","0.7317","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-snr-architecture-three-tier-sli-abaaa5","candidate","0.7245","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server-computing","candidate","0.7237","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server","incumbent","0.7127","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-1996-moving-effectively-next-gen-client-server","incumbent","0.6564","1"
"What did Aberdeen Group predict about client-server computing in the 1990s?","t90-05","incumbent","0.6381","1"
"Which technologies were forecast to disrupt relational databases?","relational-database-1996","candidate","0.707","1"
"Which technologies were forecast to disrupt relational databases?","relational-database","both","0.6895","1"
"Which technologies were forecast to disrupt relational databases?","tech-rdbms","both","0.6771","1"
"Which technologies were forecast to disrupt relational databases?","databases-rdbms","candidate","0.6667","1"
"Which technologies were forecast to disrupt relational databases?","tech-o2-004","candidate","0.6664","1"
"Which technologies were forecast to disrupt relational databases?","study-aberdeen-1996-distributed-open-rdbms-buying-guide","candidate","0.6644","1"
"Which technologies were forecast to disrupt relational databases?","commercial-rdbms","incumbent","0.5864","1"
"Which technologies were forecast to disrupt relational databases?","ordbms","incumbent","0.5824","1"
"Which technologies were forecast to disrupt relational databases?","relational-database-management-systems","incumbent","0.5779","1"
"Which technologies were forecast to disrupt relational databases?","digital-rdb","incumbent","0.5764","1"
"What was said about Digital Equipment Corporation's market position?","e3-07","both","0.7556","1"
"What was said about Digital Equipment Corporation's market position?","dec-digital-equipment","both","0.7415","1"
"What was said about Digital Equipment Corporation's market position?","e1-05","both","0.7368","1"
"What was said about Digital Equipment Corporation's market position?","enc-05","both","0.7354","1"
"What was said about Digital Equipment Corporation's market position?","ent-s2-001","candidate","0.7012","1"
"What was said about Digital Equipment Corporation's market position?","quote-929","candidate","0.699","1"
"What was said about Digital Equipment Corporation's market position?","e2-05","incumbent","0.6026","1"
"What was said about Digital Equipment Corporation's market position?","digital-equipment","incumbent","0.6019","1"
"How did analysts view Oracle's pricing strategy?","quote-995","candidate","0.6571","1"
"How did analysts view Oracle's pricing strategy?","quote-913","both","0.6516","1"
"How did analysts view Oracle's pricing strategy?","quote-92","both","0.6467","1"
"How did analysts view Oracle's pricing strategy?","quote-985","candidate","0.6427","0"
"How did analysts view Oracle's pricing strategy?","quote-720","candidate","0.6415","1"
"How did analysts view Oracle's pricing strategy?","study-2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","candidate","0.6412","1"
"How did analysts view Oracle's pricing strategy?","oracle-corp","incumbent","0.6","1"
"How did analysts view Oracle's pricing strategy?","oracle-sun-sparc","incumbent","0.5961","0"
"How did analysts view Oracle's pricing strategy?","oracle-corporation","incumbent","0.5911","1"
"How did analysts view Oracle's pricing strategy?","e90-05","incumbent","0.5795","1"
"What predictions were made about the shift to web-based enterprise software?","quote-18","candidate","0.67","0"
"What predictions were made about the shift to web-based enterprise software?","enterprise-software","both","0.6696","1"
"What predictions were made about the shift to web-based enterprise software?","web-conferencing","candidate","0.6605","0"
"What predictions were made about the shift to web-based enterprise software?","quote-872","candidate","0.6505","0"
"What predictions were made about the shift to web-based enterprise software?","study-tool-vendors-neglect-intranet-computing-97bde3","candidate","0.6472","1"
"What predictions were made about the shift to web-based enterprise software?","quote-720","candidate","0.6455","0"
"What predictions were made about the shift to web-based enterprise software?","open-source-software","incumbent","0.6366","0"
"What predictions were made about the shift to web-based enterprise software?","internet","incumbent","0.6281","1"
"What predictions were made about the shift to web-based enterprise software?","digital-unix-tru64","incumbent","0.6082","0"
"What predictions were made about the shift to web-based enterprise software?","internet-commerce-platform","incumbent","0.6056","1"
"What predictions were made about the shift to web-based enterprise software?","enterprise-soa","incumbent","0.6013","1"
"Which vendors were expected to lose share to open-source software?","red-flag-linux","candidate","0.6059","1"
"Which vendors were expected to lose share to open-source software?","it-suppliers","candidate","0.594","0"
"Which vendors were expected to lose share to open-source software?","code-vendor-weakness","candidate","0.5879","0"
"Which vendors were expected to lose share to open-source software?","code-vendor-claim","candidate","0.5847","0"
"Which vendors were expected to lose share to open-source software?","ent-ibm-os2","candidate","0.5838","0"
"Which vendors were expected to lose share to open-source software?","apache-software-foundation","candidate","0.5835","1"
"Which vendors were expected to lose share to open-source software?","open-source-software","incumbent","0.5598","1"
"Which vendors were expected to lose share to open-source software?","netware-4x","incumbent","0.5312","1"
"Which vendors were expected to lose share to open-source software?","study-tool-vendors-neglect-intranet-computing-97bde3","incumbent","0.5094","0"
"Which vendors were expected to lose share to open-source software?","linux-server","incumbent","0.5087","1"
"Which vendors were expected to lose share to open-source software?","quote-128","incumbent","0.5061","0"
"Which vendors were expected to lose share to open-source software?","quote-173","incumbent","0.504","1"
"What was the outlook for object-oriented databases?","object-oriented","both","0.7998","1"
"What was the outlook for object-oriented databases?","study-1997-object-databases-such-as-o2-odmg-t-c98c72","candidate","0.7927","1"
"What was the outlook for object-oriented databases?","tech-oodbms","both","0.7784","1"
"What was the outlook for object-oriented databases?","t88-08","both","0.7633","1"
"What was the outlook for object-oriented databases?","tech-o2-003","both","0.7589","1"
"What was the outlook for object-oriented databases?","tech-o2-001","candidate","0.7431","1"
"What was the outlook for object-oriented databases?","object-relational-db","incumbent","0.618","1"
"What was the outlook for object-oriented databases?","tech-28","incumbent","0.6123","1"
"How was Microsoft's entry into enterprise software assessed?","ent-msft-001","both","0.706","1"
"How was Microsoft's entry into enterprise software assessed?","backoffice-suite","both","0.7002","1"
"How was Microsoft's entry into enterprise software assessed?","study-1997-microsoft-the-joker-of-enterprise-158636","candidate","0.6936","1"
"How was Microsoft's entry into enterprise software assessed?","microsoft-erp-pre-dynamics","candidate","0.6841","1"
"How was Microsoft's entry into enterprise software assessed?","microsoft-great-plains","candidate","0.6829","1"
"How was Microsoft's entry into enterprise software assessed?","microsoft","both","0.6796","1"
"How was Microsoft's entry into enterprise software assessed?","e3-03","incumbent","0.6315","1"
"How was Microsoft's entry into enterprise software assessed?","nt-server-enterprise","incumbent","0.6151","1"
