obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
ibm-major-account-plan-8-cc6400-OBS-001,ibm-major-account-plan-8-cc6400,aberdeen-group,,market-data,2001,ibm-revenue-ytd,"Through six months: $31,000 Aberdeen revenue from IBM versus $491,000 for full year 2000.",high,document-review,sec-1,Confidential Aberdeen-internal.
ibm-major-account-plan-8-cc6400-OBS-002,ibm-major-account-plan-8-cc6400,ibm,,market-data,2001,ibm-po-lockdown,IBM has been locked down to Aberdeen for new purchase orders for two quarters.,high,document-review,sec-1,
ibm-major-account-plan-8-cc6400-OBS-003,ibm-major-account-plan-8-cc6400,cindy-murray,,personal-recollection,2001,murray-maternity,Sales executive Cindy Murray was on maternity leave during this period.,high,document-review,sec-1,
ibm-major-account-plan-8-cc6400-OBS-004,ibm-major-account-plan-8-cc6400,aberdeen-group,,strategy-classification,2001,ibm-pipeline-surfacing,"Major account process is surfacing more opportunities into new areas, including a six-figure proposal to IBM's primary market research department.",high,document-review,sec-1,
ibm-major-account-plan-8-cc6400-OBS-005,ibm-major-account-plan-8-cc6400,aberdeen-group,,expert-opinion,2001,aberdeen-white-paper-legacy,Aberdeen has suffered from IBM's apparent historic experience that Aberdeen was a white-paper company at a time when white-papers are an IBM expendable budget item.,high,expert-opinion,sec-1,
ibm-major-account-plan-8-cc6400-OBS-006,ibm-major-account-plan-8-cc6400,aberdeen-group,,strategy-classification,2001,ibm-investment-rationale,"Despite lack of success, Aberdeen should continue to invest in marketing to IBM — IBM is a leader or player in virtually all Aberdeen practice areas and is an industry survivor; success could leverage to a dozen or more pods.",high,expert-opinion,sec-1,
ibm-major-account-plan-8-cc6400-OBS-007,ibm-major-account-plan-8-cc6400,ibm,,strategy-classification,2001,ibm-pod-coverage-goal,Goal: IBM revenue into every Aberdeen practice area (pod).,high,document-review,sec-2,
ibm-major-account-plan-8-cc6400-OBS-008,ibm-major-account-plan-8-cc6400,ibm,,strategy-classification,2001,ibm-mix-shift,Mix shift from white-papers to ETI content/primary research and Core retainers and consulting.,high,document-review,sec-2,
ibm-major-account-plan-8-cc6400-OBS-009,ibm-major-account-plan-8-cc6400,aberdeen-group,,viability-prediction,2001,ibm-revenue-run-rate-q4-2002,Grow Aberdeen-IBM revenues to a $750K run rate by Q4-2002.,medium,document-review,sec-2,
ibm-major-account-plan-8-cc6400-OBS-010,ibm-major-account-plan-8-cc6400,aberdeen-group,,actual-outcome,2001,ibm-revenue-run-rate-outcome,"IBM's revenue run-rate outcomes for the 2001 major account plan are internal proprietary data not publicly available. IBM's total revenue for 2001 was approximately $85.9 billion, declining from $88.4 billion in 2000 due to the dot-com recession. Specific account-level outcomes cannot be verified.",unknown [REVIEW],document-review,sec-2,Placeholder; internal outcome not in archive. | Internal IBM major account plan outcomes not publicly verifiable. IBM's overall 2001 revenue declined ~3% due to recession. Source: IBM 2001 Annual Report.
ibm-major-account-plan-8-cc6400-OBS-011,ibm-major-account-plan-8-cc6400,aberdeen-group,,strategy-classification,2001,ibm-gm-mindshare,"Be known, respected and quoted by IBM general managers.",high,document-review,sec-2,
ibm-major-account-plan-8-cc6400-OBS-012,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,q4-2001-mas-bookings,"Book $150,000 MAS and content deal (close proposal).",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-013,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,q4-2001-core-bookings,"Book $100,000 in Core projects (half identified today).",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-014,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,q4-2001-server-business-recovery,Find out what Aberdeen has to do to get business back in Server group.,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-015,ibm-major-account-plan-8-cc6400,,websphere,strategy-classification,2001,q4-2001-software-briefing,Capabilities briefing to IBM Software (Tivoli & WebSphere).,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-016,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,2002-revenue-quarterly,2002 quarterly revenue targets: $125K / $150K / $175K / $200K (Q1-Q4).,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-017,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,2002-mix-targets,"2002 revenue mix target: 20% ETI, 35% amplification, 20% retainers, 25% consulting.",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-018,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,2002-pod-plans,Goal: get a plan from every practice area manager and execute.,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-019,ibm-major-account-plan-8-cc6400,aberdeen-group,,strategy-classification,2001,corporate-capabilities-presentation,Q3/4-2001: Aberdeen corporate capabilities presentation to IBM.,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-020,ibm-major-account-plan-8-cc6400,linda-sanford,,strategy-classification,2001,sanford-lever,Use Linda Sanford lever to rest of IBM executive team; keep her engaged (example: Sept 5 voicemail by Peter offering to brief her on Aberdeen HP-Compaq analysis).,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-021,ibm-major-account-plan-8-cc6400,cindy-murray,,strategy-classification,2001,murray-time-allocation,"Use 20-25% of Cindy's time on IBM through Q1, then measure effectiveness.",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-022,ibm-major-account-plan-8-cc6400,peter-s-kastner,,strategy-classification,2001,kastner-usage,"Use Peter where appropriate in briefings, projects and sales.",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-023,ibm-major-account-plan-8-cc6400,,ibm-eliza,strategy-classification,2001,multi-project-tie-in,"Try to approach IBM on multiple projects tied to a single IBM initiative: eLiza, pervasive computing, or WebSphere infrastructure.",high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-024,ibm-major-account-plan-8-cc6400,,,strategy-classification,2001,ibm-analyst-events,Attend all IBM analyst conferences and analyst briefings.,high,document-review,sec-3,
ibm-major-account-plan-8-cc6400-OBS-025,ibm-major-account-plan-8-cc6400,linda-sanford,,strategy-classification,2001,sanford-quarterly-brief,"Brief Linda Sanford quarterly plus ad hoc event conference calls (i.e., HP acquires Compaq).",high,document-review,sec-4,
ibm-major-account-plan-8-cc6400-OBS-026,ibm-major-account-plan-8-cc6400,peter-s-kastner,,strategy-classification,2001,kastner-10-percent,Dedicate 10% of Peter to IBM business development.,high,document-review,sec-4,
ibm-major-account-plan-8-cc6400-OBS-027,ibm-major-account-plan-8-cc6400,somers,,strategy-classification,2001,somers-ar-briefings,Brief Somers analyst relations team en masse once or twice.,high,document-review,sec-4,
ibm-major-account-plan-8-cc6400-OBS-028,ibm-major-account-plan-8-cc6400,aberdeen-group,,strategy-classification,2001,eti-mapping-investment,Invest up to one man-month of ETI research associate time to map IBM's research programs and product campaigns; use as war-room input for strategic and tactical planning.,high,document-review,sec-4,
