"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"planningforemergingindustry-6-40decb-OBS-001","planningforemergingindustry-6-40decb","intel","intel-architecture","framework-factor","2003","ia-mid-90s-workloads","From mid-1990s, IA32-based servers assumed increasingly business-critical transaction processing, decision support, Web, and office workloads.","high","industry-analysis","preface",""
"planningforemergingindustry-6-40decb-OBS-002","planningforemergingindustry-6-40decb","intel","","metric-value","2003","intel-chipset-volume","Intel shipped more than 1 million enterprise chipsets since start of 2002 (E7501, E7505, E7205 for Xeon; E8870 for Itanium 2).","high","document-review","p1",""
"planningforemergingindustry-6-40decb-OBS-003","planningforemergingindustry-6-40decb","intel","","expert-opinion","2003","intel-chipset-validation-spend","Intel's chipsets undergo rigorous qualification and validation involving thousands of engineers and hundreds of millions of dollars — leading to high quality and predictable, stable operation.","high","expert-opinion","p2",""
"planningforemergingindustry-6-40decb-OBS-004","planningforemergingindustry-6-40decb","intel","intel-e7505","metric-value","2003","e7505-bandwidth","E7505 workstation chipset: fast AGP 8x, over 4 GB/s memory bandwidth; winning design/rendering benchmarks and share vs. RISC workstations.","high","benchmarking","p2",""
"planningforemergingindustry-6-40decb-OBS-005","planningforemergingindustry-6-40decb","intel","intel-e7501","metric-value","2003","e7501-capabilities","E7501 volume 2-way server chipset: up to 16GB real memory, 3 PCI-X I/O buses, dual Gigabit Ethernet.","high","document-review","p2",""
"planningforemergingindustry-6-40decb-OBS-006","planningforemergingindustry-6-40decb","intel","intel-nocona","viability-prediction","2003","nocona-lindenhurst-2004","2004 next-gen Xeon 'Nocona' with Lindenhurst chipset — industry's first chipset with PCI Express serial I/O and DDR2 memory.","high","industry-analysis","p2","[UNVERIFIED] actual-outcome paired."
"planningforemergingindustry-6-40decb-OBS-007","planningforemergingindustry-6-40decb","intel","intel-nocona","actual-outcome","2003","nocona-lindenhurst-actual","[UNVERIFIED]","unknown [REVIEW]","framework-development","p2","Verify Nocona shipped 2004 as predicted."
"planningforemergingindustry-6-40decb-OBS-008","planningforemergingindustry-6-40decb","intel","intel-potomac","viability-prediction","2003","potomac-twin-castle-2h2004","2H2004: new generation of 32-bit MP server CPUs 'Potomac' with 4-processor 'Twin Castle' chipset — Intel's first recent 4-way IA32 chipset since early 2002 server re-entry.","high","industry-analysis","p2","[UNVERIFIED] actual-outcome paired."
"planningforemergingindustry-6-40decb-OBS-009","planningforemergingindustry-6-40decb","intel","intel-potomac","actual-outcome","2003","potomac-twin-castle-actual","[UNVERIFIED]","unknown [REVIEW]","framework-development","p2",""
"planningforemergingindustry-6-40decb-OBS-010","planningforemergingindustry-6-40decb","intel","intel-itanium-2","framework-factor","2003","itanium-2-madison","Itanium 2 Madison released mid-2003; E8870 designed for 2-8-way Itanium 2 servers with extensive RAS; attractive for mission-critical databases, decision support, encryption; high memory bandwidth + EPIC for sci/tech.","high","technology-assessment","p3",""
