"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"fortran","FORTRAN","language","IBM / community","1957-","mature","legacy-supported","volume-1-ch10-the-long-view-1966-2026","Kastner taught himself FORTRAN at MIT's computer room in 1966 on a $5 million mainframe at $360/hour."
"ibm-mainframe","IBM Mainframe","platform","IBM","1960s-","mature","legacy-supported","volume-1-ch10-the-long-view-1966-2026","The $5M mainframe at MIT costing $360/hour defined the early scarcity economics of computing."
"mainframe","Mainframe Computing","platform","multiple","1950s-1980s","mature","legacy-supported","volume-1-ch10-the-long-view-1966-2026","Economically (not technically) displaced by minicomputers for departmental workloads; Pattern 1 exemplar."
"32-bit-minicomputer","Minicomputer","platform","multiple (DEC, Prime, Data General, etc.)","1965-1990","declining","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","Democratized compute access by 1972; economically displaced by x86 servers; proprietary margins funded x86 development that displaced them."
"intel-x86","x86 Architecture","platform","Intel","1978-","growing","active","volume-1-ch10-the-long-view-1966-2026","By time Kastner left Stratus in 1987, x86 was preparing to displace all proprietary minicomputer and workstation platforms."
"unix","Unix","platform","AT&T / community","1969-","mature","legacy-supported","volume-1-ch10-the-long-view-1966-2026","Not technically inferior to Linux; lost on licensing economics and community development (Pattern 1). IBM cited as funding Unix research (Pattern 2)."
"linux","Linux","platform","open source community","1991-","growing","active","volume-1-ch10-the-long-view-1966-2026","Won over Unix on licensing economics and community development. Kastner notes he got the destination right (Unix dominance to open source) but wrong mechanism."
"rdbms","Relational Database Management System (RDBMS)","platform","multiple","1970s-","growing","active","volume-1-ch10-the-long-view-1966-2026","Kastner claims credit for predicting RDBMS dominance for operational systems; listed in the 'got right' column."
"eai","Enterprise Application Integration (EAI)","framework","multiple","1990s-2000s","growing","legacy-supported","volume-1-ch10-the-long-view-1966-2026","One of the architectural responses to the integration tax Kastner named in the early 1990s; did not eliminate integration complexity."
"enterprise-soa","Service-Oriented Architecture (SOA)","framework","multiple","2000s","growing","legacy-supported","volume-1-ch10-the-long-view-1966-2026","Kastner cites SOA as directionally correct prediction, five years early (adoption timeline bias)."
"api","APIs / Microservices","framework","multiple","2000s-","emerging","active","volume-1-ch10-the-long-view-1966-2026","Part of integration architecture evolution; each new layer solved integration problem while enabling new proliferation generating new complexity."
"cloud-computing","Public Cloud Computing","platform","Amazon, Microsoft, Google","2006-","growing","active","volume-1-ch10-the-long-view-1966-2026","A significant analytical miss for Kastner: he understood compute commoditization but did not anticipate infrastructure migrating to shared utility services rather than enterprise-owned commodity hardware."
"ibm-eliza","ELIZA","application","MIT (Joseph Weizenbaum)","1966","legacy","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","First chatbot (1966); demonstrated that pattern-matching rules could simulate conversation; raised Turing Test implications. No actual language understanding."
"ai-expert-systems","Expert Systems","application","multiple","1980s-1990s","declining","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","Rule-based AI with explicit knowledge encoded by human experts. MYCIN and XCON named as prominent examples. Limited by knowledge acquisition bottleneck and brittleness outside narrow design domains."
"mycin","MYCIN","application","Stanford University","1970s-1980s","legacy","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","Medical diagnosis expert system; cited in AI sidebar as representative of 1980s rule-based AI."
"xcon","XCON","application","DEC / Carnegie Mellon","1980s","legacy","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","Computer configuration expert system for DEC; cited in AI sidebar as representative commercial expert system of the 1980s."
"lisp","LISP","language","MIT / community","1958-","mature","legacy-supported","volume-1-ch10-the-long-view-1966-2026","Named as part of early AI research energy at MIT in 1966, alongside ELIZA and Project MAC."
"project-mac","Project MAC","platform","MIT","1963-1975","legacy","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","MIT research project active in 1966 when Kastner was there; cited as part of the early AI research environment."
"machine-learning-statistical","Machine Learning (Statistical)","framework","academic / multiple","1990s-2000s","growing","active","volume-1-ch10-the-long-view-1966-2026","1990s generation: decision trees, neural networks, support vector machines. Required labeled training data; worked on specific well-defined tasks. Transition from rules to statistics."
"deep-learning","Deep Learning","framework","academic / multiple","2006-","growing","active","volume-1-ch10-the-long-view-1966-2026","Multi-layer neural networks enabled by GPU computing and large datasets. AlexNet (2012) cited as demonstration that deep learning outperformed human-engineered features on image classification."
"alexnet","AlexNet","framework","University of Toronto (Krizhevsky, Sutskever, Hinton)","2012","legacy","legacy-end-of-life","volume-1-ch10-the-long-view-1966-2026","2012 deep learning breakthrough for image classification; cited in AI sidebar as milestone for deep learning's superiority over human-engineered features."
"transformer-architecture","Transformer Architecture","framework","Google (Vaswani et al.)","2017-","emerging","active","volume-1-ch10-the-long-view-1966-2026","""Attention is All You Need"" (2017); self-attention mechanisms enabling parallel sequence processing and training on vastly larger datasets. Foundation for current LLMs."
"large-language-models","Large Language Models (LLMs)","platform","OpenAI, Anthropic, Google","2020-","emerging","active","volume-1-ch10-the-long-view-1966-2026","GPT series, Claude, Gemini. Trained on internet-scale text. Emergent capabilities at scale. First AI systems that handle ambiguity, context, and implicit knowledge qualitatively differently than predecessors."
"gpt-series","GPT Series","application","OpenAI","2018-","emerging","active","volume-1-ch10-the-long-view-1966-2026","OpenAI's large language model series; referenced as exemplar of current generative AI generation."
