"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"data-mining","ETI•EXTRACT Tool Suite","Data Integration/ETL","Evolutionary Technologies International","1992-2000s","mainstream","discontinued","1997-data-integration-management-in-hete-de2429","ETI•EXTRACT was a pioneering commercial ETL tool; market eventually consolidated around Informatica, IBM DataStage"
"windows-nt","Data Warehousing","Architecture/Technology","Multiple","1990s-present","emerging","mainstream","1997-data-integration-management-in-hete-de2429","Data warehousing became mainstream; evolved into cloud data warehouses (Snowflake, BigQuery, Redshift)"
"corba-common-object-request-broker-architecture","ETL (Extract Transform Load)","Data Integration Pattern","Multiple","1990s-present","emerging","mainstream","1997-data-integration-management-in-hete-de2429","ETL became standard data integration pattern; evolved to ELT in cloud era"
"metadata-management","Metadata Management","Data Governance","Multiple","1990s-present","emerging","mainstream","1997-data-integration-management-in-hete-de2429","Metadata management became critical discipline; modern data catalogs (Collibra, Alation) are successors"
"massively-parallel-processing","COBOL","Programming Language","Multiple","1959-present","mainstream","legacy","1997-data-integration-management-in-hete-de2429","COBOL programs generated by ETI•EXTRACT for mainframe targets; COBOL still runs significant legacy code as of 2026"
"sun-ultrasparc","ABAP/4 (SAP)","Programming Language","SAP","1980s-present","mainstream","active-niche","1997-data-integration-management-in-hete-de2429","SAP ABAP language supported by ETI; ABAP still active in SAP environments"
"db2","DB2","Database","IBM","1983-present","mainstream","active-niche","1997-data-integration-management-in-hete-de2429","IBM DB2 supported as ETI•EXTRACT target; DB2 still active as of 2026"
"predictive-analytics","IBM Visual Warehouse","Data Warehousing","IBM","1996-2001","emerging","discontinued","1997-data-integration-management-in-hete-de2429","IBM Visual Warehouse used ETI•EXTRACT for data extraction; discontinued and replaced by IBM Warehouse Manager"
"business-intelligence","Year 2000 (Y2K) Conversion","Software Process","Multiple","1996-2000","active","completed","1997-data-integration-management-in-hete-de2429","Y2K conversion completed by 2000; ETI•EXTRACT used as data migration tool during Y2K projects"
"groupware","Client/Server Migration","Architecture","Multiple","1990s","mainstream","legacy","1997-data-integration-management-in-hete-de2429","Client/server migration from mainframe peaked late 1990s; superseded by web/cloud architectures"
"digital-unix-tru64","RPG","Programming Language","IBM","1959-present","mainstream","legacy","1997-data-integration-management-in-hete-de2429","IBM RPG language supported by ETI•EXTRACT for AS/400 targets; RPG still used in IBM i environments"
"openvms","Relational Database Management System","Database","Multiple","1970s-present","mainstream","dominant","1997-data-integration-management-in-hete-de2429","RDBMS remains dominant; cloud databases added columnar and multi-model variants"
"microsoft-backoffice","Object-Oriented Database","Database","Multiple","1990s","emerging","niche","1997-data-integration-management-in-hete-de2429","ETI MetaStore was OO database; OODB largely displaced by RDBMS with OO extensions and NoSQL"
