"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"12-steps-to-category-creation-0abd5a-OBS-001","12-steps-to-category-creation-0abd5a","aberdeen-group","","category-creation-methodology","2003","10-step category creation model","Step 1: Define; Step 2: Differentiate; Step 3: Debunk alternative market evolution; Step 4: Define argument position and messages; Step 5: Deliver to market influencers; Step 6: Create awareness and reinforcement; Step 7: Evangelize with end-user influencers; Step 8: Measure it and report it; Step 9: Let influencers take over thought leadership; Step 10: Nurture","high","ingest-extraction","expert-opinion","10 Steps slide","Aberdeen's complete proprietary framework"
"12-steps-to-category-creation-0abd5a-OBS-002","12-steps-to-category-creation-0abd5a","","midline-storage","market-definition","2003","Category definition","A category is a distinct market segment which is watched and measured independently of other segments by market influencers: Wall Street industry analysts press consultants","high","ingest-extraction","expert-opinion","Definition slide",""
"12-steps-to-category-creation-0abd5a-OBS-003","12-steps-to-category-creation-0abd5a","","midline-storage","market-definition","2003","IT category examples","Midrange computers; storage area networks; Customer Relationship Management; relational databases; application servers","high","ingest-extraction","expert-opinion","Definition slide","Historical precedents for category creation"
"12-steps-to-category-creation-0abd5a-OBS-004","12-steps-to-category-creation-0abd5a","aberdeen-group","midline-storage","methodology","2003","Differentiation requirement","There must be a supportable argument to justify the 'cost' of creating the category; category must have clear definition and differentiation from other segments","high","ingest-extraction","expert-opinion","Differentiate slide",""
"12-steps-to-category-creation-0abd5a-OBS-005","12-steps-to-category-creation-0abd5a","aberdeen-group","midline-storage","methodology","2003","Debunk requirement","Why won't existing categories evolve to fill the supposed role of the new category? (SCSI capacity increases and good enough ATA filling middle must be addressed)","high","ingest-extraction","expert-opinion","Debunk the Alternatives slide",""
"12-steps-to-category-creation-0abd5a-OBS-006","12-steps-to-category-creation-0abd5a","aberdeen-group","","influencer-strategy","2003","Analyst engagement approach","Disguise the source and let analysts buy in; Wall Street: Maxtor starts reporting midline units separately","high","ingest-extraction","expert-opinion","Deliver the Category to Market Influencers slide","Hidden-hand strategy for analyst engagement"
"12-steps-to-category-creation-0abd5a-OBS-007","12-steps-to-category-creation-0abd5a","aberdeen-group","","measurement-framework","2003","Category metrics to track","Size; Growth; Revenues; Taking share from existing categories; Winners and losers","high","ingest-extraction","expert-opinion","Measure and Report slide",""
"12-steps-to-category-creation-0abd5a-OBS-008","12-steps-to-category-creation-0abd5a","aberdeen-group","","measurement-principle","2003","Reporting creates category","If it's measured and reported as a separate category it will likely become a separate category","high","ingest-extraction","expert-opinion","Measure and Report slide","Key axiom of Aberdeen's category creation theory"
"12-steps-to-category-creation-0abd5a-OBS-009","12-steps-to-category-creation-0abd5a","gartner","","category-creation-analogy","2003","CRM category creation precedent","Aberdeen helped create CRM category which took off once Gartner bought in and made it their own; apply same model to midline","high","ingest-extraction","expert-opinion","Let the Influencers Take Over slide","Historical analogy from Aberdeen's own work"
"12-steps-to-category-creation-0abd5a-OBS-010","12-steps-to-category-creation-0abd5a","aberdeen-group","","category-creation-principle","2003","Cannot control a category","We cannot control a category; we will fail if we try to 'own' the IP as no one else will want to play; encourage influencers to create modify rename our ideas","high","ingest-extraction","expert-opinion","Let the Influencers Take Over slide",""
"12-steps-to-category-creation-0abd5a-OBS-011","12-steps-to-category-creation-0abd5a","aberdeen-group","","evangelization-channels","2003","Evangelization targets","Influential end user customers; ecosystem partners; industry associations (SNIA); industry events/trade shows; Wall Street and industry analysts; press","high","ingest-extraction","expert-opinion","Evangelization Program slide",""
"12-steps-to-category-creation-0abd5a-OBS-012","12-steps-to-category-creation-0abd5a","aberdeen-group","","methodology","2003","Working draft status","Multiple slides contain placeholder text (Midline Definition: [Define here]; [Midline differentiation here]; [David: why won't SCSI fill the middle?])","high","ingest-extraction","document-review","Multiple slides","Document is a working draft with content placeholders; pre-workshop preparation material"
"12-steps-to-category-creation-0abd5a-OBS-013","12-steps-to-category-creation-0abd5a","aberdeen-group","","awareness-building","2003","Awareness tracking requirement","Key component of awareness building is tracking and reporting on growth and emergence of new category: revenue units industry players","high","ingest-extraction","expert-opinion","Awareness Building slide",""
"12-steps-to-category-creation-0abd5a-OBS-014","12-steps-to-category-creation-0abd5a","aberdeen-group","","nurture-strategy","2003","Nurture phase definition","[long-term marketing outreach program for growing and sustaining the category]","medium","ingest-extraction","document-review","Nurture slide","Placeholder slide - content not yet defined"
"12-steps-to-category-creation-0abd5a-OBS-015","12-steps-to-category-creation-0abd5a","aberdeen-group","","methodology","2003","Category creation IP ownership risk","We will fail if we try to own the IP; successful categories require open thought leadership that others can adopt","high","ingest-extraction","expert-opinion","Let the Influencers Take Over slide",""
