"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-001","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-11i","strategy-classification","2002","Oracle Apps World strategic emphasis","Installed base satisfaction and upgrade pathways over new product announcements","high","ingest-extraction","document-review","abstract","Conference described as having a 'different feel' with emphasis on upgrades over innovation",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-002","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-11i","market-data","2002","Oracle new product announcement activity at Apps World","Largely absent","high","ingest-extraction","document-review","abstract","Contrast with prior years when new product launches dominated conference",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-003","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-11i","expert-opinion","2002","Oracle upgrade revenue strategy","Upgrading installed base is core of new license revenue opportunity","high","ingest-extraction","expert-opinion","abstract","Aberdeen assessment: installed-base upgrade is primary near-term revenue lever for Oracle",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-004","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","","technology-assessment","2002","Oracle 11i web-based architecture positioning","e-Business Suite positioned as strategic upgrade destination for installed base","high","ingest-extraction","industry-analysis","abstract","Oracle Apps World focused on upgrade pathways to Oracle 11i",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-005","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","","framework-factor","2002","Enterprise software market condition: post-dot-com downturn","Stark realities of current enterprise software market driving conservative strategy","high","ingest-extraction","industry-analysis","abstract","Market context: 2002 enterprise IT spending downturn shaped Oracle's installed-base pivot",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-006","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","larry-ellison","","strategy-classification","2002","Larry Ellison public persona shift","Presenting softer face to user community; less combative","medium","ingest-extraction","expert-opinion","title/abstract","Title frames a perceived change in Ellison's confrontational communication style at Apps World",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-007","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oaug","","market-data","2002","Oracle Apps World conference location","San Diego","high","ingest-extraction","document-review","abstract","Conference held in San Diego; date estimated spring 2002",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-008","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-11i","viability-prediction","2002","Oracle 11i as strategic upgrade path for installed base","Predicted to be the central upgrade vehicle for existing Oracle customers","verified","outcome-linkage","expert-opinion","abstract","Aberdeen frames this as core strategic direction for Oracle near-term",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-009","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-11i","actual-outcome","2013","Oracle 11i lifecycle outcome","Premier Support ended December 2013; sustaining support extended through December 2014","verified","web-source","document-review","n/a","Oracle extended support timeline confirming 11i was indeed the key upgrade platform through mid-decade",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-010","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","oracle-ebs","actual-outcome","2022","Oracle EBS long-term installed-base strategy outcome","Continued installed-base retention through EBS 12.2 with support through 2030+","verified","web-source","document-review","n/a","Oracle maintained and extended EBS support confirming the installed-base focus described in 2002",""
"2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb-OBS-011","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","oracle-corporation","","expert-opinion","2002","Degree of customer satisfaction emphasis","More evident than prior years","high","ingest-extraction","document-review","abstract","Aberdeen notes increased visible emphasis on user satisfaction vs. prior Oracle conferences",""
