"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"itanium-2","Intel Itanium 2 Processor","hardware","Intel","2002-2017","growing","{'lifecycle_current': 'discontinued', 'notes': 'Intel discontinued Itanium shipments July 29, 2021. HPE ended Itanium/Integrity server support December 31, 2025. Architecture is fully discontinued.', 'source': 'https://www.theregister.com/2019/02/01/intel_kills_itanium_again/'}","intelitaniummfewp1[1]-773ea2","Primary subject; 64-bit IA-64 architecture; 30-100% better performance than Xeon per Intel estimate; multi-processor capable; Madison chip at 1.5+ GHz"
"intel-xeon","Intel Pentium Xeon Processor","hardware","Intel","1998-present","mature","{'lifecycle_current': 'active', 'notes': 'Intel Xeon server platform remains active. Current generations include Granite Rapids (Xeon 6). Diamond Rapids in development. Core enterprise server CPU line.', 'source': 'https://www.servethehome.com/intel-cancels-its-mainstream-next-gen-xeon-server-processors/'}","intelitaniummfewp1[1]-773ea2","32-bit with 64-bit extensions planned; primary alternative to Itanium for mainframe migration; lower cost; wider availability"
"ibm-zseries-z990","IBM zSeries z990 Mainframe","hardware","IBM","2003-2005","mature","{'lifecycle_current': 'discontinued', 'notes': 'IBM zSeries z990 hardware reached end of support. IBM Z platform continues as z15/z16/z17, but z990 itself is long discontinued.', 'source': 'https://www.ibm.com/support/pages/product-end-service-dates'}","intelitaniummfewp1[1]-773ea2","Latest mainframe at time of study; positioned primarily as database server; proprietary chipset; approximately 60% of mainframe users satisfied"
"ibm-zos","IBM z/OS","platform","IBM","2001-present","mature","{'lifecycle_current': 'active', 'notes': 'IBM z/OS is actively developed and current. IBM z/OS 3.2 announced for Q3 2025 release to support the new z17 mainframe. IBM continues strategic investment in mainframe platform with AI capabilities, hybrid cloud integration.', 'source': 'https://www.crn.com/news/cloud/2025/ibm-sets-june-date-for-ai-agent-era-z17-mainframes'}","intelitaniummfewp1[1]-773ea2","Primary mainframe OS; 88% of survey mainframe users running z/OS, OS/390, or OS/370"
"ibm-os390","IBM OS/390","platform","IBM","1995-2001","declining","{'lifecycle_current': 'discontinued', 'notes': 'IBM OS/390 sales ended December 2002; support ended September 2004. Succeeded by z/OS, which continues actively. OS/390 itself is discontinued.', 'source': 'https://www.computerworld.com/article/1332439/ibm-to-stop-os-390-sales.html'}","intelitaniummfewp1[1]-773ea2","Predecessor to z/OS; still in use at some survey respondent sites"
"ibm-db2","IBM DB2","application","IBM","1983-present","mature","{'lifecycle_current': 'active', 'notes': 'IBM Db2 (rebranded from DB2) is an actively supported, commercial database product. Db2 for z/OS and Db2 for Linux/Unix/Windows both actively supported through 2027+ with extended support options.', 'source': 'https://www.ibm.com/support/pages/db2-distributed-end-support-eos-dates'}","intelitaniummfewp1[1]-773ea2","Primary database on mainframes; used in most user migration cases; can be ported to Intel without rewrite"
"cobol","COBOL","language","Various","1959-present","mature","{'lifecycle_current': 'legacy-supported', 'notes': ""COBOL remains in heavy use in banking, insurance, and government, processing ~70-80% of world's business transactions. Not used for new projects but actively maintained on mainframes. Reached TIOBE Top 10 in 2024."", 'source': 'https://zmainframes.com/zlog/cobol-in-2024-is-it-still-relevant-or-a-dying-language/'}","intelitaniummfewp1[1]-773ea2","Primary mainframe application language; 1000-2900 COBOL programs typical at user sites; Microfocus COBOL enables port to Wintel without recompilation"
"ibm-cics","IBM CICS TP Monitor","platform","IBM","1968-present","mature","{'lifecycle_current': 'active', 'notes': 'IBM CICS Transaction Server for z/OS is actively developed (v6.2 released June 2024 with continuous delivery updates). CICS for IBM i is being sunsetted (defect support until Oct 2025), but CICS TS for z/OS remains active.', 'source': 'https://www.ibm.com/support/pages/ibm-cics-transaction-server-zos-56-61-and-62-are-updated-october-2024'}","intelitaniummfewp1[1]-773ea2","Transaction processing monitor; primary dependency on mainframe; cited as hard port when migrating to SQL Server"
"ibm-vsam","IBM VSAM","application","IBM","1973-present","mature","{'lifecycle_current': 'legacy-supported', 'notes': 'IBM VSAM (Virtual Storage Access Method) remains supported as a core z/OS data management facility. Not used for new systems but maintained for existing mainframe workloads.', 'source': 'https://www.ibm.com/docs/en/zos'}","intelitaniummfewp1[1]-773ea2","Data management tool on mainframe; dependency for mainframe application migration"
"ibm-ims","IBM IMS","application","IBM","1968-present","mature","{'lifecycle_current': 'active', 'notes': 'IBM IMS (Information Management System) is actively supported. IMS 15.4 released June 2023. IBM continues to invest in IMS modernization for mainframe environments.', 'source': 'https://www.ibm.com/support/pages/ibm-information-management-system-ims154x'}","intelitaniummfewp1[1]-773ea2","Information Management System; data management tool on mainframe"
"ibm-dl1","IBM DL/1","application","IBM","1960s-present","legacy","{'lifecycle_current': 'legacy-supported', 'notes': 'DL/1 (Data Language/1) is the database access language for IMS. Still supported as part of IMS, but not used for new development. Legacy mainframe technology.', 'source': 'https://www.ibm.com/docs/en/ims'}","intelitaniummfewp1[1]-773ea2","Data Language/1 hierarchical database access; mainframe data management tool"
"windows-server","Microsoft Windows Server (Wintel)","platform","Microsoft","1993-present","mature","{'lifecycle_current': 'active', 'notes': 'Microsoft Windows Server actively developed. Windows Server 2025 is current release. Core enterprise server OS for Microsoft ecosystem.', 'source': 'https://learn.microsoft.com/en-us/windows-server/'}","intelitaniummfewp1[1]-773ea2","Primary target OS for mainframe migration; Xeon 900 MHz servers with Windows cited in user case study"
