"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-practice-definitions-compendium-2000-b7a001-001","aberdeen-practice-definitions-compendium-2000-b7a001","jack-maynard","aberdeen-practice-eas","practice-attribution","2000","Practice Coordinator","Lead member of EAS practice team","high","ingest-extraction","primary-doc","EAS-Web-3","Listed first under Members of the Team in the EAS Web Description January 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-002","aberdeen-practice-definitions-compendium-2000-b7a001","david-hofferberth","aberdeen-practice-eas","practice-attribution","2000","Practice Member — Professional Services lead","Authored four-segment Professional Services taxonomy","high","ingest-extraction","primary-doc","EAS-Web-3","Within EAS practice; pioneered IPSP/ISV/OEM/VAR taxonomy for IT professional services suppliers",""
"aberdeen-practice-definitions-compendium-2000-b7a001-003","aberdeen-practice-definitions-compendium-2000-b7a001","valerie-oconnell","aberdeen-practice-enterprise-management","practice-attribution","2000","Research Director","Sole named team member of Enterprise Management practice","high","ingest-extraction","primary-doc","Enterprise-Management-4","Practice covers systems/network/applications/web operations management collaboration",""
"aberdeen-practice-definitions-compendium-2000-b7a001-004","aberdeen-practice-definitions-compendium-2000-b7a001","valerie-oconnell","web-operations-management","framework-definition","2000","Web Operations Management defined","intersection of Web Enterprise Systems Management and Web Infrastructure","high","ingest-extraction","primary-doc","Enterprise-Management-4","Pioneering definition of WebOps as discipline; covers content distribution synchronization web traffic load balancing problem avoidance shortened resolution time business policy injection talent conservation",""
"aberdeen-practice-definitions-compendium-2000-b7a001-005","aberdeen-practice-definitions-compendium-2000-b7a001","wayne-kernochan","aberdeen-practice-platform-infrastructure","practice-attribution","2000","Practice Coordinator","Sole coordinator","high","ingest-extraction","primary-doc","Kernochan-platform-infrastructure-6 + Platforms-practice2-9","Both surviving versions of the Platform Infrastructure practice definition list Kernochan as Coordinator with Hill and Tanner as Contributors",""
"aberdeen-practice-definitions-compendium-2000-b7a001-006","aberdeen-practice-definitions-compendium-2000-b7a001","wayne-kernochan","aberdeen-practice-platform-infrastructure","framework-definition","2000","Platform Infrastructure thesis","scalability flexibility Web robustness ever-increasing workloads rapid online upgradeability","high","ingest-extraction","primary-doc","Kernochan-platform-infrastructure-6 + Platforms-practice2-9","2000-vintage statement of cloud-native infrastructure principles; explicit Internet-time framing",""
"aberdeen-practice-definitions-compendium-2000-b7a001-007","aberdeen-practice-definitions-compendium-2000-b7a001","joyce-becknell","aberdeen-practice-platforms-group","practice-attribution","2000","Practice Co-Coordinator","Co-coordinator with James Gruener","high","ingest-extraction","primary-doc","Platforms-practice-definition-8","Platforms Group covers client/server architectures OS platforms RISC/EPIC/MAJC information appliances",""
"aberdeen-practice-definitions-compendium-2000-b7a001-008","aberdeen-practice-definitions-compendium-2000-b7a001","james-gruener","aberdeen-practice-platforms-group","practice-attribution","2000","Practice Co-Coordinator","Co-coordinator with Joyce Becknell","high","ingest-extraction","primary-doc","Platforms-practice-definition-8","Platforms Group practice",""
"aberdeen-practice-definitions-compendium-2000-b7a001-009","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-platforms-group","framework-definition","2000","Platforms Group taxonomy","Enterprise Architectures (servers); Windows 2000/Unix/Linux/IA-64-EPIC/RISC/MAJC platforms; Information appliances; Interconnect (SMP/NUMA/clustering/partitioning); Client Architectures; Workstations/Desktops/Information appliances client-side; Quantitative Platform Research Services","high","ingest-extraction","primary-doc","Platforms-practice-definition-8","Full Platforms Group taxonomy as published in January 2000 practice definition",""
"aberdeen-practice-definitions-compendium-2000-b7a001-010","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Query and Reporting market size","$1.63B","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000; called a 'good enough' commoditizing category",""
"aberdeen-practice-definitions-compendium-2000-b7a001-011","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","OLAP market size","$1.2B","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-012","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Analytical Applications market size","$728M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-013","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Data Mining market size","$89M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000; small share relative to query/reporting and OLAP",""
"aberdeen-practice-definitions-compendium-2000-b7a001-014","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Content Management market size","$1.1B","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-015","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Web Traffic Analysis market size","$40M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-016","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Personalization market size","$36M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-017","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Data Quality and Enrichment market size","$5.89B","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000; largest segment in Data Knowledge taxonomy",""
"aberdeen-practice-definitions-compendium-2000-b7a001-018","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Data Warehouse market size","$1.3B","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-019","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","Data Mart market size","$188M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-020","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","market-data","2000","ETL market size","$138M","medium","ingest-extraction","analyst-estimate","data-knowledge-addendum-practice","Aberdeen estimate for year 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-021","aberdeen-practice-definitions-compendium-2000-b7a001","david-alschuler","aberdeen-practice-b2b-ebusiness-scm","practice-attribution","2000","Practice Author","Sole author of practice-definition memo To: Peter Kastner January 17 2000","high","ingest-extraction","primary-doc","e-Biz-SCM-Practice-Def-000117-2","Memo formally addressed To: Peter Kastner Fr: David Alschuler Re: Practice Definition File: Aberdeen Planning 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-022","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","e-procurement","market-data","1999","e-Procurement market size","$1.0B","medium","ingest-extraction","analyst-estimate","e-Biz-SCM-Practice-Def-000117-2","Aberdeen 1999 estimate from Alschuler practice-definition memo; growth 250-300 percent per year (25 percent quarter-over-quarter)",""
"aberdeen-practice-definitions-compendium-2000-b7a001-023","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","e-sales","market-data","1999","e-Sales market size","$1.2B","medium","ingest-extraction","analyst-estimate","e-Biz-SCM-Practice-Def-000117-2","Aberdeen 1999 estimate from Alschuler memo",""
"aberdeen-practice-definitions-compendium-2000-b7a001-024","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","e-distribution","market-data","1999","e-Distribution market size","$0.4B","medium","ingest-extraction","analyst-estimate","e-Biz-SCM-Practice-Def-000117-2","Aberdeen 1999 estimate from Alschuler memo",""
"aberdeen-practice-definitions-compendium-2000-b7a001-025","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","e-messaging","market-data","1999","e-Messaging market size","$0.7B","medium","ingest-extraction","analyst-estimate","e-Biz-SCM-Practice-Def-000117-2","Aberdeen 1999 estimate from Alschuler memo",""
"aberdeen-practice-definitions-compendium-2000-b7a001-026","aberdeen-practice-definitions-compendium-2000-b7a001","david-alschuler","aberdeen-practice-b2b-ebusiness-scm","forecast","2000","Strategic thesis","IT'S THE PROCESS, STUPID — process improvement is real opportunity of e-Business","high","ingest-extraction","primary-doc","e-Biz-SCM-Practice-Def-000117-2","Verbatim quotation: 'The real opportunity of e-Business the potential to improve the core enterprise business processes – making them qualitatively better and more efficient. When you do this more effectively (than your competitors) then you gain strategic advantage. IT'S THE PROCESS, STUPID!'",""
"aberdeen-practice-definitions-compendium-2000-b7a001-027","aberdeen-practice-definitions-compendium-2000-b7a001","david-alschuler","aberdeen-practice-b2b-ebusiness-scm","forecast","2000","Convergence thesis","e-Business application and Enterprise application markets are the same market — not separate","high","ingest-extraction","primary-doc","e-Biz-SCM-Practice-Def-000117-2","Verbatim conclusion from Alschuler memo; predicted e-Business/ERP convergence years before mainstream adoption",""
"aberdeen-practice-definitions-compendium-2000-b7a001-028","aberdeen-practice-definitions-compendium-2000-b7a001","david-hofferberth","aberdeen-practice-professional-services","framework-definition","2000","Four-segment IT Professional Services taxonomy","Independent Professional Services Suppliers (IPSPs); Independent Software Vendors (ISVs); Original Equipment Manufacturers (OEMs); Resellers and Value-Added Resellers (VARs)","high","ingest-extraction","primary-doc","EAS-Web-3","Hofferberth's canonical four-segment supplier taxonomy with named exemplars per segment (e.g. IPSPs: Andersen Consulting CSC EDS Tenfold Keane; ISVs: SAP Baan Microsoft CA; OEMs: HP Compaq IBM Data General; VARs: Inacom Pinacor MicroAge)",""
"aberdeen-practice-definitions-compendium-2000-b7a001-029","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-eas","framework-definition","2000","EAS Strategic Issues 2000","push to Internet Application Architectures; continued Integration of Enterprise Application Backbones; moving from Supply Chain Planning to Supply Chain Execution; impacts of ASPs on Application Supplier Business Models and Distribution Strategies","high","ingest-extraction","primary-doc","EAS-Web-3","Four explicit strategic issues from EAS Web Description January 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-030","aberdeen-practice-definitions-compendium-2000-b7a001","joyce-becknell","aberdeen-practice-platforms-group","forecast","2000","Inflection Points 2000 thesis","EPIC architecture + Windows 2000 + Linux as 2000 disruptive triad","high","ingest-extraction","primary-doc","Platforms-practice-definition-8","Verbatim: 'Now that Y2K is gone, we've got the next big thing — EPIC architecture, Windows 2000, and that annoying, giggling group of penguin lovers — the Linux crowd. What does it mean? Will any of these products really be able to do all the lovely things they promise? When will IA-64 really ship? Do we even want to discuss Active Directory?'",""
"aberdeen-practice-definitions-compendium-2000-b7a001-031","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-platforms-group","framework-definition","2000","2000 Quantitative Research projects","Service provider server usage satisfaction and trends; Corporate IT server usage satisfaction and trends; Corporate user and corporate IT client device usage satisfaction and trends; Linux research","high","ingest-extraction","primary-doc","Platforms-practice-definition-8","Four named quantitative research projects underway/intended in Platforms Group for 2000",""
"aberdeen-practice-definitions-compendium-2000-b7a001-032","aberdeen-practice-definitions-compendium-2000-b7a001","valerie-oconnell","aberdeen-practice-enterprise-management","framework-definition","2000","Enterprise Management strategic-questions list","WBEM and CIM standards; unified systems/network/application management; Enterprise Management TCO; Internet vs. legacy systems mix; directories XML and Java impact","high","ingest-extraction","primary-doc","Enterprise-Management-4","Six named strategic market questions establishing the Enterprise Management practice's research agenda",""
"aberdeen-practice-definitions-compendium-2000-b7a001-033","aberdeen-practice-definitions-compendium-2000-b7a001","valerie-oconnell","aberdeen-practice-enterprise-management","framework-definition","2000","Enterprise Management 12-service supplier offerings","strategic market positioning pricing and messaging; go-to-market planning and channel preparation; bullet-proofing sales and marketing programs; primary qualitative market research; development and delivery of street-strength sales training; market-readying and coaching of technology executives; ghost-writing of white papers and speeches; facilitation of end-user focus groups; speaking engagements at seminars; development of effective sales models and strategy; win-loss evaluations and account audits; research and writing of in-depth customer case studies","high","ingest-extraction","primary-doc","Enterprise-Management-4","Twelve numbered services offered by Enterprise Management practice to supplier community; standard Aberdeen consulting service catalog template",""
"aberdeen-practice-definitions-compendium-2000-b7a001-034","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-data-knowledge","framework-definition","2000","Data Knowledge thesis","most suppliers have not driven current technologies deeply enough into a business context — and toward solving a specific business problem","high","ingest-extraction","primary-doc","data-knowledge-addendum-practice","Critical observation: 'most so-called Data Knowledge/e.business best practices are merely new practices' — Caveat Emptor",""
"aberdeen-practice-definitions-compendium-2000-b7a001-035","aberdeen-practice-definitions-compendium-2000-b7a001","aberdeen-group","aberdeen-practice-platform-infrastructure","framework-definition","2000","Platform Infrastructure supplier coverage universe","BMC Software; Compaq Computer; Computer Associates International; EMC; eXcelon; Hewlett-Packard; IBM; Informix Software; Legato Systems; Microsoft; Oracle; Pervasive; Progress; Sterling Software; Sun Microsystems; Sybase; Tivoli Storage Management; Unisys; VERITAS Software","high","ingest-extraction","primary-doc","Kernochan-platform-infrastructure-6 + Platforms-practice2-9","Nineteen suppliers explicitly named as covered in the Platform Infrastructure practice",""
