code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's long-term survival or competitive outcome
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity or prediction
technology-assessment,observation_type,Technology Assessment,"Evaluation of a technology's maturity, fitness, or capabilities"
benchmark-result,observation_type,Benchmark Result,Quantitative comparison against peers or standards
framework-factor,observation_type,Framework Factor,One component of a multi-factor analytical framework
market-data,observation_type,Market Data,Quantitative market statistic or factual market context
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment from Aberdeen analyst
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and dynamics
competitive-profiling,methodology,Competitive Profiling,Detailed comparison of competing entities
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers
field-research,methodology,Field Research,Primary data collection via interviews or surveys
document-review,methodology,Document Review,Analysis of existing documents and records
expert-opinion,methodology,Expert Opinion Method,Qualitative professional judgment methodology
high,confidence,High Confidence,Strong evidentiary basis; multiple corroborating sources
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration
low,confidence,Low Confidence,Directional judgment with limited evidence
verified,confidence,Verified,Confirmed by subsequent events or independent sources
emerging,lifecycle,Emerging,Technology newly entering the market at time of study
mature,lifecycle,Mature,Technology at peak adoption at time of study
declining,lifecycle,Declining,Technology losing market share at time of study
obsolete,lifecycle,Obsolete,Technology no longer in active use today
active,lifecycle,Active,Technology still in active use today
legacy-supported,lifecycle,Legacy Supported,Technology maintained for backward compatibility but not actively developed
