"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"clarify-inc","Clarify Inc.","company","customer-interaction-software","acquired","Nortel Networks (1999, $2.1B) -> Amdocs Ltd. (2001, $200M)","1992-1999","aberdeen-1996-clarify-inc","NASDAQ: CLFY; 1H 1996 revenues $20.1M; 200+ customers, 43,000 users; HQ San Jose CA"
"aberdeen-group","Aberdeen Group, Inc.","firm","IT-research","acquired","Harte-Hanks (2001) -> Informa (2019)","1988-2001","aberdeen-1996-clarify-inc","Boston-based IT research firm; publisher of this study"
"metropolis-software","Metropolis Software","company","sales-force-automation","acquired","Acquired by Clarify in early 1996","1990s","aberdeen-1996-clarify-inc","SFA and mobile computing; provided ClearSales, mobile data sync; integrated into Clarify product line"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","aberdeen-1996-clarify-inc","Named Clarify anchor customer; flagship ClearHelpdesk customer; ClearSupport integration with Microsoft SMS"
"cisco-systems","Cisco Systems","company","networking","active","","1984-present","aberdeen-1996-clarify-inc","Named Clarify linchpin customer in networking sector"
"hewlett-packard","Hewlett-Packard","company","IT-systems","active","HP Inc + HPE (2015)","1939-2015","aberdeen-1996-clarify-inc","Named Clarify linchpin customer; flagship ClearHelpdesk customer"
"mci","MCI Communications","company","telecommunications","acquired","WorldCom (1998) -> MCI (2003) -> Verizon (2006)","1963-2006","aberdeen-1996-clarify-inc","Named Clarify customer; also CommCenter customer for telecom vertical"
"sprint","Sprint Corporation","company","telecommunications","acquired","T-Mobile (2020)","1899-2020","aberdeen-1996-clarify-inc","Named Clarify linchpin customer; also Sprint Spectrum listed"
"nortel-networks","Nortel Networks","company","telecommunications","dissolved","bankrupt 2009; assets sold to various buyers","1895-2009","aberdeen-1996-clarify-inc","Acquired Clarify for $2.1B in 1999; then sold to Amdocs for $200M in 2001"
"bay-networks","Bay Networks","company","networking","acquired","Acquired by Nortel Networks in 1998","1994-1998","aberdeen-1996-clarify-inc","Named Clarify linchpin customer in networking"
"kpmg","KPMG Peat Marwick","firm","consulting","active","KPMG","1911-present","aberdeen-1996-clarify-inc","Named Clarify systems integrator partner"
"cambridge-tech-partners","Cambridge Technology Partners","firm","IT-consulting","acquired","Acquired by Novell 1999; then CGI Group","1991-1999","aberdeen-1996-clarify-inc","Named Clarify systems integrator partner"
"sap-ag","SAP AG","company","ERP-software","active","SAP SE (2014)","1972-present","aberdeen-1996-clarify-inc","Named as Clarify integration target; mentioned as back-office integration partner"
