"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"maxtor-midline-evaluation-a8d823-OBS-001","maxtor-midline-evaluation-a8d823","aberdeen-group","","archival-assessment","2026","Collection scope","38 studies and 1,042 observations spanning the complete lifecycle of the Aberdeen-Maxtor midline storage engagement 2002-2004","verified","ai-dialog","Overview","Verified by direct count of archived studies and observations in the repository"
"maxtor-midline-evaluation-a8d823-OBS-002","maxtor-midline-evaluation-a8d823","aberdeen-group","","archival-assessment","2026","Historical significance classification","Most complete surviving record of analyst-led category creation in enterprise IT","high","ai-dialog","Why It Matters","Based on comparison with available public records of comparable engagements; no equivalent full-lifecycle archive identified"
"maxtor-midline-evaluation-a8d823-OBS-003","maxtor-midline-evaluation-a8d823","aberdeen-group","midline-storage","prescience-assessment","2026","Midline tier prediction accuracy","Confirmed: SATA became dominant secondary storage medium by 2006-2008","verified","ai-dialog","Section 2","Cross-referenced against IDC and Gartner storage market data"
"maxtor-midline-evaluation-a8d823-OBS-004","maxtor-midline-evaluation-a8d823","aberdeen-group","ilm","prescience-assessment","2026","ILM mindshare battle prediction accuracy","Confirmed: every major storage vendor launched ILM programs; tiered storage became standard architecture","verified","ai-dialog","Section 2","EMC NetApp HP IBM HDS all launched ILM initiatives 2004-2010"
"maxtor-midline-evaluation-a8d823-OBS-005","maxtor-midline-evaluation-a8d823","aberdeen-group","ilm","prescience-assessment","2026","ILM software maturity timeline accuracy","Confirmed: EMC Data Domain and NetApp ONTAP automated tiering matured 2009-2011 matching the predicted 2008-2009 window","verified","ai-dialog","Section 2","Computerworld article prediction verified against product release dates"
"maxtor-midline-evaluation-a8d823-OBS-006","maxtor-midline-evaluation-a8d823","aberdeen-group","","prescience-assessment","2026","Disk-to-disk backup prediction accuracy","Confirmed: by 2008-2010 disk-to-disk backup was enterprise standard with tape relegated to deep archive","verified","ai-dialog","Section 2","Industry transition well-documented in Gartner Magic Quadrant for backup"
"maxtor-midline-evaluation-a8d823-OBS-007","maxtor-midline-evaluation-a8d823","aberdeen-group","","prescience-assessment","2026","Compliance-driven storage prediction accuracy","Confirmed: HIPAA enforcement and SEC Rule 17a-4 drove fixed-content storage demand as predicted","verified","ai-dialog","Section 2","DiFranco 2003 prediction verified against regulatory implementation timeline"
"maxtor-midline-evaluation-a8d823-OBS-008","maxtor-midline-evaluation-a8d823","aberdeen-group","","prescience-assessment","2026","Storage vendor revenue pressure prediction accuracy","Confirmed: EMC HDS IBM experienced storage hardware revenue headwinds 2004-2006","verified","ai-dialog","Section 2","RAMP survey report prediction verified against vendor financial reports"
"maxtor-midline-evaluation-a8d823-OBS-009","maxtor-midline-evaluation-a8d823","aberdeen-group","","archival-assessment","2026","Cloud storage lineage","Hill's 2002 four-pool taxonomy (Online/Midline/Nearline/Offline) maps directly to AWS S3 storage classes (Standard/Intelligent-Tiering/Glacier/Deep Archive)","high","ai-dialog","Section 2","Architectural correspondence identified by AI analysis; not an explicit prediction but a demonstrated intellectual lineage"
"maxtor-midline-evaluation-a8d823-OBS-010","maxtor-midline-evaluation-a8d823","aberdeen-group","","methodological-assessment","2026","RAMP interview quality","Face-to-face interviews with State Street Kaiser Permanente Visa/Inovant Applied Materials and Timex provide detailed enterprise storage snapshots with exact capacity utilization and growth figures","high","ai-dialog","Section 3","Primary research methodology assessment"
"maxtor-midline-evaluation-a8d823-OBS-011","maxtor-midline-evaluation-a8d823","aberdeen-group","","methodological-assessment","2026","Survey independence finding","Survey finding that enterprise storage utilization ran at 60%+ directly contradicted vendor-promoted low-utilization narrative — genuine independent analysis not sponsored validation","high","ai-dialog","Section 3","Key indicator of research independence and analytical integrity"
"maxtor-midline-evaluation-a8d823-OBS-012","maxtor-midline-evaluation-a8d823","aberdeen-group","","innovation-assessment","2026","Decision tool significance","Pools of Storage Decision Tool (four-stage workflow: Solution + Competitive Maturity Grid + Financial Framework + Case for Action) anticipated SaaS assessment-tool category","high","ai-dialog","Section 4","After-action valued tool R&D at $75K in reusable IP; Macromedia EVP Al Ramadan expressed interest"
"maxtor-midline-evaluation-a8d823-OBS-013","maxtor-midline-evaluation-a8d823","maxtor-corporation","","outcome-assessment","2026","Category creation partial outcome","Midline category was broadly adopted but Maxtor acquired by Seagate 2006 before achieving category leadership — Siebel/CRM analogy did not fully complete","verified","ai-dialog","Section 5","Maxtor acquisition price $1.9B; category survived sponsor"
"maxtor-midline-evaluation-a8d823-OBS-014","maxtor-midline-evaluation-a8d823","aberdeen-group","","project-assessment","2026","Engagement economics","$60K Phase 1 + $128K Phase 2 = approximately $188K total contracted work; 150 days actual vs 60 days planned; 16-person project team","verified","ai-dialog","Section 5","Figures from SOW and after-action review documents"
"maxtor-midline-evaluation-a8d823-OBS-015","maxtor-midline-evaluation-a8d823","aberdeen-group","","lesson-learned","2026","Category creation model boundary","Project succeeded in defining the category and failed to install the sponsor as permanent leader — documents the boundary between market engineering and competitive execution","high","ai-dialog","Assessment","Core strategic lesson of the engagement"
