"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"genspark-001","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DEC 1988 revenue","$11.5 billion","high","ai-synthesis","1","Cited as peak performance year; world's #2 computer company."
"genspark-002","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DEC TP market share pre-DECtp","~5%","medium","ai-synthesis","1","Estimated; DEC had no comprehensive TP monitor solution pre-DECtp."
"genspark-003","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DECtp market share target by 1991","10-15%","medium","ai-synthesis","5","Initial goal per AI synthesis; not confirmed by primary source."
"genspark-004","dectp-genspark-research2-4-a09a82","digital-equipment","vax-acms","ai-exchange","1988","VAX ACMS Version 3.0 performance range TPS","5 TPS (VAX 3600) to 20 TPS (VAX 8820)","medium","ai-synthesis","2","Pricing £3,800-£56,612; 4GL task definition language approach."
"genspark-005","dectp-genspark-research2-4-a09a82","digital-equipment","decintact","ai-exchange","1988","DECintact Version 1.0 performance range TPS","6 TPS (MicroVAX 3600) to 53 TPS (dual VAX 8810s)","medium","ai-synthesis","2","Pricing £5,290-£77,316; based on Advanced Systems Concepts Intact product; financial sector focus."
"genspark-006","dectp-genspark-research2-4-a09a82","digital-equipment","oracle-rdb","ai-exchange","1988","VAX Rdb Version 3.0 improvements","Five-fold performance increase over previous version; up to 50GB data support","medium","ai-synthesis","2","Integrated with DECdta architecture."
"genspark-007","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DECtp total throughput claim","Up to 9 million transactions per day","medium","ai-synthesis","2","Performance claim at DECtp launch; based on Debit/Credit benchmark suite."
"genspark-008","dectp-genspark-research2-4-a09a82","digital-equipment","tpc-benchmark","ai-exchange","1990","VAX 9000-210 TPC-A result","143.4 tpsA-Local at $29.3K per tps","medium","ai-synthesis","3","Published TPC-A result; verify against TPC full disclosure report."
"genspark-009","dectp-genspark-research2-4-a09a82","digital-equipment","tpc-benchmark","ai-exchange","1990","VAX 4000-300 TPC-A result","41.4 tpsA-Local at $24.1K per tps","medium","ai-synthesis","3","Published TPC-A result; verify against TPC full disclosure report."
"genspark-010","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1992","DEC first major annual loss","-$2.8 billion","medium","ai-synthesis","5","Timing suggests DECtp gained technical credibility but could not compensate for broader market shifts."
"genspark-011","dectp-genspark-research2-4-a09a82","peter-s-kastner","oltp","ai-exchange","1987","Kastner Yankee Group OLTP study","Ghost-wrote 'The Future of OLTP'; completed late 1987; published early 1988","low","ai-synthesis","6","[HALLUCINATION RISK] Genspark claims Kastner ghost-wrote Yankee Group study; cannot verify from primary sources in this archive."
"genspark-012","dectp-genspark-research2-4-a09a82","peter-s-kastner","oltp","ai-exchange","1988","Kastner Aberdeen Group co-founders","John R. Logan, Charles T. Casale (both former Prime), Thomas W. Willmott (formerly IDC)","medium","ai-synthesis","6","Founded late 1988 after DECtp launch; Logan had called IBM response 'pure FUD'."
"genspark-013","dectp-genspark-research2-4-a09a82","peter-s-kastner","tpc-benchmark","ai-exchange","1988","Kastner DECtp launch committee role","Chairman, DECtp launch committee; responsible for market positioning, product portfolio, competitive messaging","high","corroborated-primary","6","Corroborated by DEC performance review (study dec-resume-performance-review-3-1f133b)."
"genspark-014","dectp-genspark-research2-4-a09a82","digital-equipment","ibm-cics","ai-exchange","1988","DEC competitive strategy vs IBM","Distributed architecture vs IBM centralized; lower-cost VAX vs mainframe; open standards vs proprietary","high","ai-synthesis","3","DECdta (Distributed Transaction Processing Architecture) supported industry standards."
"genspark-015","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DECtp SWOT: key weaknesses","5% TP market share; engineering-centric culture; lack of enterprise SW partnerships; minimal TP experience","medium","ai-synthesis","1","AI-generated SWOT analysis."
"genspark-016","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DECtp SWOT: key opportunities","Growing demand for distributed TP; shift from centralized mainframes; open standards (X/Open, POSIX); VAX installed base","medium","ai-synthesis","1","AI-generated SWOT analysis."
"genspark-017","dectp-genspark-research2-4-a09a82","tandem-computers","oltp","ai-exchange","1988","Tandem competitive position","Fault-tolerant NonStop systems; specialized TP; strong financial services relationships; NonStop SQL","high","ai-synthesis","3","Kastner had seven years competing against Tandem per Genspark."
"genspark-018","dectp-genspark-research2-4-a09a82","ibm","ibm-cics","ai-exchange","1988","IBM TP competitive position","Dominant with CICS; centralized mainframe; massive installed base; mature TP software ecosystem","high","ai-synthesis","3","IBM was primary competitive target for DECtp."
"genspark-019","dectp-genspark-research2-4-a09a82","digital-equipment","oltp","ai-exchange","1988","DECtp TPC benchmark submission count","Only 3 vendors (DEC, HP, IBM) submitted official TPC-A results by 1991","medium","ai-synthesis","5","[HALLUCINATION RISK] Contradicts 1992 Aberdeen VP which cites many more TPC-A vendors by 1992."
"genspark-020","dectp-genspark-research2-4-a09a82","peter-s-kastner","tpc-benchmark","ai-exchange","1988","Kastner career trajectory strategic value for DECtp","Stratus (fault-tolerant TP) → Yankee Group (OLTP study) → DEC (DECtp launch) → Aberdeen Group (independent analysis)","medium","ai-synthesis","7","Genspark characterises this as unparalleled perspective on TP market evolution."
"genspark-021","dectp-genspark-research2-4-a09a82","peter-s-kastner","tpc-benchmark","ai-exchange","1988","Kastner departure from DEC","Late 1988 after DECtp products launched; co-founded Aberdeen Group","medium","ai-synthesis","6","Strategic timing: industry adopting TPC standards; market evolving toward client-server."
"genspark-022","dectp-genspark-research2-4-a09a82","digital-equipment","client-server","ai-exchange","1988","DECtp strategic failure factors","Entry as market shifted to client-server; engineering culture misalignment; complex product suite; insufficient field expertise","medium","ai-synthesis","6","AI assessment of why DECtp produced mixed results despite technical competence."
"genspark-023","dectp-genspark-research2-4-a09a82","carlos-borgialli","oltp","ai-exchange","1988","Carlos Borgialli role at DEC","Senior Manager DECtp Software Engineering; authored Digital Technical Journal TP foreword","medium","ai-synthesis","7","Verifiable via Digital Technical Journal 1991."
"genspark-024","dectp-genspark-research2-4-a09a82","digital-equipment","vax-acms","ai-exchange","1988","DECtp product architecture name","DECdta (Distributed Transaction Processing Architecture)","high","ai-synthesis","2","Corroborated by Tech Monitor source cited in document."
"genspark-025","dectp-genspark-research2-4-a09a82","aberdeen-group","tpc-benchmark","ai-exchange","1988","Aberdeen Group TPC auditing role","Auditor of TPC-A and TPC-B benchmarks; provided technical credibility and competitive intelligence","high","corroborated-primary","7","Corroborated by Aberdeen's own 1992 TPC Benchmarks VP (study 1992-tpc-benchmarks-vp-ed0e0d)."
