"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"intel-ia2004-pk4-kc-edits-de9c37-OBS-001","intel-ia2004-pk4-kc-edits-de9c37","intel","ia-architecture","market-share","2003","IA server market position","majority of world desktop/workstation/server computers","high","ingest-extraction","expert-analysis","p1","Intel Architecture at heart of majority of world's computers as of mid-2003.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-002","intel-ia2004-pk4-kc-edits-de9c37","intel","","competitive-position","2002","Enterprise chipsets shipped since 2002","more than 1 million","high","ingest-extraction","primary-source","p1","Intel shipped >1M enterprise chipsets since beginning of 2002 (E7501, E7505, E7205, E8870).",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-003","intel-ia2004-pk4-kc-edits-de9c37","intel","xeon-processor","competitive-position","2003","Workstation benchmark performance","winning design/rendering benchmarks vs. RISC","high","ingest-extraction","expert-analysis","p1","Xeon E7505 with 4GB/s memory bandwidth winning against proprietary RISC workstations.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-004","intel-ia2004-pk4-kc-edits-de9c37","intel","titanium-ia64","competitive-position","2003","Itanium 2 market position","winning commercial and scientific benchmarks; gaining share vs. RISC/Unix/mainframe","high","ingest-extraction","expert-analysis","p2","Madison Itanium 2 winning numerous benchmark tests; picking up market share against high-end RISC/Unix.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-005","intel-ia2004-pk4-kc-edits-de9c37","","ddr2-memory","technology-adoption","2004","DDR2-400 power vs DDR400","50% lower power consumption","high","ingest-extraction","primary-source","p3","DDR2-400 draws half power of DDR400; key for blade and 1U servers.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-006","intel-ia2004-pk4-kc-edits-de9c37","","ddr-memory","benchmark-result","2003","Dual-channel DDR400 bandwidth","6.4 GB/second peak","high","ingest-extraction","primary-source","p2","Two-channel DDR400 achieves 6.4 GB/s peak bandwidth.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-007","intel-ia2004-pk4-kc-edits-de9c37","","ipmi","technology-adoption","2003","IPMI adopter companies","over 150","high","ingest-extraction","primary-source","p3","150+ companies have adopted IPMI specification; v1.5 now in production systems.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-008","intel-ia2004-pk4-kc-edits-de9c37","aberdeen-group","","expert-opinion","2003","Data center TCO labor share","approximately 50% of total TCO","high","ingest-extraction","survey","p3","Aberdeen research shows ~50% of data center TCO is labor for operations and administration.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-009","intel-ia2004-pk4-kc-edits-de9c37","","pci-x","benchmark-result","2003","PCI-X bandwidth","1.06 GB/second at 133 MHz","high","ingest-extraction","primary-source","p3","PCI-X doubles PCI bus bandwidth from 532 MB/s to 1.06 GB/s.",""
"intel-ia2004-pk4-kc-edits-de9c37-OBS-010","intel-ia2004-pk4-kc-edits-de9c37","","pci-express","benchmark-result","2003","PCI-E x16 bandwidth","4 GB/s peak","high","ingest-extraction","primary-source","p4","Each PCI-E x1 lane at 2.5 GHz; x16 aggregated = 4 GB/s.",""
