"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"jungle-1-5-675c58-001","jungle-1-5-675c58","aberdeen-group","rdbms","market-size","1995","ww_database_market","~$20 billion worldwide","high","market-research","slide-2","Overall worldwide database market size"
"jungle-1-5-675c58-002","jungle-1-5-675c58","aberdeen-group","rdbms","market-size","1995","rdbms_market_size","$5.5 billion (largest segment)","high","market-research","slide-2","RDBMS submarket size as largest database segment"
"jungle-1-5-675c58-003","jungle-1-5-675c58","aberdeen-group","decision-support","market-size","1995","dss_market_size","<$2 billion (pure decision support)","high","market-research","slide-2","Decision support market size; bulk is OLTP and product query"
"jungle-1-5-675c58-004","jungle-1-5-675c58","aberdeen-group","rdbms","market-growth","1995","major_rdbms_supplier_growth","30-70% per year in revenue","high","market-research","slide-2","Growth rate range for major RDBMS suppliers"
"jungle-1-5-675c58-005","jungle-1-5-675c58","aberdeen-group","rdbms","market-growth","1995","rdbms_submarket_growth","50%+ per year","high","market-research","slide-3","RDBMS submarket exceptionally fast-growing"
"jungle-1-5-675c58-006","jungle-1-5-675c58","aberdeen-group","rdbms","market-share","1994","rdbms_server_attach_rate","9 RDBMS licenses for every 10 commercial multiuser servers","high","market-research","slide-3","RDBMS attach rate to commercial servers"
"jungle-1-5-675c58-007","jungle-1-5-675c58","aberdeen-group","unix","market-share","1995","unix_vs_mainframe_revenue","Unix-server DBMS revenue now greater than mainframe revenues","high","market-research","slide-2","Unix overtook mainframe in DBMS revenue"
"jungle-1-5-675c58-008","jungle-1-5-675c58","sybase","sybase-sql-server","competitive-position","1994","sybase_revenue","$826 million total 1994 corporate revenue; up 71% from 1993","high","financial-data","slide-4","Sybase 1994 revenue and growth rate"
"jungle-1-5-675c58-009","jungle-1-5-675c58","sybase","sybase-sql-server","market-growth","1994-1995","sybase_ytd_growth","51.9% YTD sales growth rate (mid-1995)","high","financial-data","slide-4","Sybase YTD revenue growth rate"
"jungle-1-5-675c58-010","jungle-1-5-675c58","sybase","sybase-sql-server","competitive-position","1995","sybase_market_cap","$2.4 billion (July 28, 1995)","high","financial-data","slide-4","Sybase market capitalization"
"jungle-1-5-675c58-011","jungle-1-5-675c58","sybase","sybase-sql-server","competitive-position","1995","sybase_stock_drop","41% stock price drop -- first week April 1995","high","financial-data","slide-4","Sybase stock decline event"
"jungle-1-5-675c58-012","jungle-1-5-675c58","sybase","sybase-sql-server","competitive-position","1994-1995","sybase_market_rank","Second-largest RDBMS supplier","high","expert-analysis","slide-6","Sybase market ranking"
"jungle-1-5-675c58-013","jungle-1-5-675c58","sybase","sybase-sql-server","expert-opinion","1994-1995","sybase_scalability_weakness","Poor scalability beyond 4 processors; 1980s architecture running out of steam","high","expert-analysis","slide-58","Sybase key weakness in SMP scalability"
"jungle-1-5-675c58-014","jungle-1-5-675c58","sybase","sybase-sql-server","viability-prediction","1995","sybase_system11_bet","Sybase needs System 11 now to fix performance problems","high","expert-analysis","slide-58","Critical prediction: Sybase viability depends on System 11"
"jungle-1-5-675c58-015","jungle-1-5-675c58","sybase","sybase-sql-server","actual-outcome","1996-1997","sybase_system11_bet","unknown","medium","expert-opinion","unknown","Placeholder: Sybase System 11 actual impact"
"jungle-1-5-675c58-016","jungle-1-5-675c58","computer-associates","ca-ingres","competitive-position","1994-1995","ca_revenue","$2.74 billion; second largest software company behind Microsoft","high","financial-data","slide-8","CA total revenue and market position"
"jungle-1-5-675c58-017","jungle-1-5-675c58","computer-associates","ca-ingres","competitive-position","1994-1995","ca_profit_margin","22.2% net profit margin -- best in database industry","high","financial-data","slide-8","CA profitability best-in-class in database industry"
