"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"decision-maker-erp-services-805ce8-OBS-001","decision-maker-erp-services-805ce8","","erp-1998","market-data","1998","ERP adoption scope","Enterprises from middle market up are implementing ERP solutions","high","ingest-extraction","industry-analysis","Overview","Confirms mid-market to enterprise ERP wave in 1998"
"decision-maker-erp-services-805ce8-OBS-002","decision-maker-erp-services-805ce8","sap-ag","erp-1998","strategy-classification","1998","ERP vendor market position","SAP is a primary ERP vendor requiring professional services for implementation","high","ingest-extraction","competitive-profiling","Overview","SAP named as leading ERP platform requiring external professional services"
"decision-maker-erp-services-805ce8-OBS-003","decision-maker-erp-services-805ce8","oracle-corporation","erp-1998","strategy-classification","1998","ERP vendor market position","Oracle is a primary ERP vendor requiring professional services for implementation","high","ingest-extraction","competitive-profiling","Overview","Oracle named alongside SAP as top ERP platform"
"decision-maker-erp-services-805ce8-OBS-004","decision-maker-erp-services-805ce8","jd-edwards","erp-1998","strategy-classification","1998","ERP vendor market position","J.D. Edwards is a primary ERP vendor requiring professional services for implementation","high","ingest-extraction","competitive-profiling","Overview","J.D. Edwards positioned as independent ERP vendor; later acquired by PeopleSoft"
"decision-maker-erp-services-805ce8-OBS-005","decision-maker-erp-services-805ce8","peoplesoft","erp-1998","strategy-classification","1998","ERP vendor market position","PeopleSoft is a primary ERP vendor requiring professional services for implementation","high","ingest-extraction","competitive-profiling","Overview","PeopleSoft named as top ERP platform; later acquired by Oracle for $10.3B"
"decision-maker-erp-services-805ce8-OBS-006","decision-maker-erp-services-805ce8","baan","erp-1998","strategy-classification","1998","ERP vendor market position","Baan is a primary ERP vendor requiring professional services for implementation","high","ingest-extraction","competitive-profiling","Overview","Baan named as top 5 ERP vendor; collapsed 1998-2000 due to revenue scandal"
"decision-maker-erp-services-805ce8-OBS-007","decision-maker-erp-services-805ce8","","erp-professional-services","market-data","1998","ERP services provider market count","20 ERP professional services firms profiled","high","ingest-extraction","competitive-profiling","Overview","Indicates fragmented professional services market in 1998"
"decision-maker-erp-services-805ce8-OBS-008","decision-maker-erp-services-805ce8","","erp-professional-services","framework-factor","1998","ERP services differentiator","Hardware vs. software vs. management consulting background differentiates firms","high","ingest-extraction","industry-analysis","Overview","Key framework factor for services firm selection"
"decision-maker-erp-services-805ce8-OBS-009","decision-maker-erp-services-805ce8","","erp-professional-services","framework-factor","1998","ERP services differentiator","Industry-specific expertise differentiates one services firm from another","high","ingest-extraction","industry-analysis","Overview","Vertical specialization as key selection criterion"
"decision-maker-erp-services-805ce8-OBS-010","decision-maker-erp-services-805ce8","","erp-professional-services","framework-factor","1998","ERP services type","Deployment services as core ERP professional services category","high","ingest-extraction","industry-analysis","Overview","Primary service type covering initial ERP rollout"
"decision-maker-erp-services-805ce8-OBS-011","decision-maker-erp-services-805ce8","","erp-professional-services","framework-factor","1998","ERP services type","Supporting services as secondary ERP professional services category","high","ingest-extraction","industry-analysis","Overview","Post-deployment support and optimization services"
"decision-maker-erp-services-805ce8-OBS-012","decision-maker-erp-services-805ce8","","erp-professional-services","framework-factor","1998","ERP services selection question","Are professional services needed at all?","medium","ingest-extraction","expert-opinion","Overview","Aberdeen frames first question as whether any services are required"
