"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection"
"2026-kastner-oracle-longitudinal-OBS-001","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","analytical-finding","2026","total-oracle-observations-in-archive","327","verified","ingest-extraction","archive-mining","","327 observations across 73 distinct studies spanning 1988–2026 — second most-observed company in the Kastner archive after IBM","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-002","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","analytical-finding","2026","total-oracle-studies","73","verified","ingest-extraction","archive-mining","","73 distinct studies with at least one Oracle entity observation — dense and consistent coverage","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-003","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","analytical-finding","2026","archive-year-range","1988-2026","verified","ingest-extraction","archive-mining","","Four decades of continuous coverage; earliest obs 1988 (Bull RDBMS survey); most recent 2026 (Core Arguments synthesis)","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-004","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","analytical-finding","2026","oracle-tech-rows-in-archive","215","verified","ingest-extraction","archive-mining","","215 Oracle-vendor technology rows — highest tech-row density of any single vendor in the archive; reflects Oracle's product breadth","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-005","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","analytical-finding","2026","decade-peak","1990s","verified","ingest-extraction","archive-mining","","1990s produced 227 of 327 Oracle observations (69%) — the decade of RDBMS wars and Oracle InterOffice; archive's richest Oracle period","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-006","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","longitudinal-decomposition","1977","three-phase-arc-phase-1","Oracle as RDBMS Insurgent (1977–1992)","high","ingest-extraction","longitudinal-single-entity","","Phase 1: Larry Ellison founds Oracle 1977; Oracle Version 2 ships 1979 on PDP-11; grows via aggressive TPC benchmarking and VAR channel to displace established RDBMS vendors by 1992","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-007","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","longitudinal-decomposition","1993","three-phase-arc-phase-2","Oracle as Enterprise Platform Builder (1993–2009)","high","ingest-extraction","longitudinal-single-entity","","Phase 2: Oracle expands from database to applications (E-Business Suite); Internet-era pivot (NCA/Java); hostile acquisition of PeopleSoft; Siebel; Oracle becomes full enterprise software stack","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-008","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-corporation","longitudinal-decomposition","2010","three-phase-arc-phase-3","Oracle as Cloud-Resistant Incumbent turning Cloud Challenger (2010–2026)","high","ingest-extraction","longitudinal-single-entity","","Phase 3: Sun acquisition (Java/MySQL); resistance to SaaS/cloud narrative; OCI Gen 2 buildout; Autonomous Database; Oracle 23ai — from laggard to credible cloud challenger","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-009","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","thematic-thread-decomposition","1988","thread-1-rdbms-leadership-population","~60 observations 1988–2026","high","ingest-extraction","archive-mining","","THREAD-1: RDBMS Market Leadership. Oracle's core franchise — competitive positioning vs. IBM DB2 / Sybase / Informix / SQL Server / PostgreSQL through four decades; zero confirmed displacement events","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-010","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","viability-prediction","1993","rdbms-displacement-object-relational","Object-relational databases (ODBMS) will displace relational by 2000","verified","outcome-linkage","archive-mining","nti-6-rdbms-technology-48f4aa","Kastner 1993 RDBMS Report Card predicted object-relational transition; CA Ingres and Informix pushed ODBMS; Oracle survived by absorbing object features into Oracle8","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-011","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","actual-outcome","2005","rdbms-displacement-object-relational-outcome","Object-relational databases did NOT displace Oracle RDBMS","verified","web-source","wiki-driven-replication","","Oracle8 (1997) absorbed object-relational features; pure ODBMS market (Objectivity/DB4O/Jasmine) never materialized at enterprise scale. Prediction refuted — Oracle survived by adaptation","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-012","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","viability-prediction","2010","rdbms-displacement-nosql","NoSQL databases will erode Oracle's enterprise RDBMS dominance by 2015","verified","outcome-linkage","archive-mining","","MongoDB/Cassandra/CouchDB wave 2009–2012; analyst community predicted RDBMS marginalization; Gartner coined 'NoSQL' disruption narrative","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-013","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","actual-outcome","2020","rdbms-displacement-nosql-outcome","Oracle RDBMS remained dominant enterprise database through 2026","verified","web-source","wiki-driven-replication","","NoSQL found niches (document/graph/time-series) but did not displace Oracle in enterprise transactional workloads; Oracle 19c and 23ai maintain enterprise dominance; Prediction refuted","kastner-longitudinal"
