tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
numa-q,Sequent NUMA-Q,server-architecture,Sequent Computer Systems,1990s,emerging,legacy-influential,1996-sequent-38f0b1,Non-Uniform Memory Access architecture for scalable enterprise servers; concept now standard in all modern multi-socket x86 servers.
smp,Symmetric Multiprocessing,server-architecture,,1980s-present,mature,mature,1996-sequent-38f0b1,"Multiple CPUs sharing common bus, memory, and OS; well understood but limited scalability beyond 4-10 processors in the 1990s."
clustering,Clustering,server-architecture,,1980s-present,growth,mature,1996-sequent-38f0b1,Multiple independent nodes cooperating via message-passing; used for HA and resource sharing but had software bottleneck issues in 1996.
intel-x86,Intel x86 Processors,processor,Intel,1978-present,growth,mature,1996-sequent-38f0b1,Intel's economical microprocessor platform that Sequent leveraged for enterprise superservers.
vaxcluster,Digital VAXcluster,clustering,Digital Equipment Corporation,1980s-1990s,mature,obsolete,1996-sequent-38f0b1,DEC's pioneering cluster technology for VAX systems; referenced as an example of traditional clustering.
ibm-sp2,IBM SP2,parallel-computing,IBM,1990s,growth,obsolete,1996-sequent-38f0b1,IBM's Scalable POWERparallel system for high-performance computing; referenced as a cluster example.
ibm-es9000-sysplex,IBM ES/9000 Sysplex,mainframe-clustering,IBM,1990s,mature,evolved,1996-sequent-38f0b1,IBM mainframe clustering technology; evolved into Parallel Sysplex which remains in use on modern z-series.
oltp,Online Transaction Processing,workload-type,,1970s-present,mature,mature,1996-sequent-38f0b1,Core enterprise workload type; one of the primary targets for Sequent's NUMA-Q architecture.
dss,Decision Support Systems,workload-type,,1970s-present,growth,evolved,1996-sequent-38f0b1,Analytical workloads for complex queries; evolved into modern business intelligence and analytics platforms.
atm-networking,ATM Networking,networking,,1990s,emerging,obsolete,1996-sequent-38f0b1,"Asynchronous Transfer Mode; predicted to deliver cheap infinite bandwidth by 2001, but was superseded by Gigabit Ethernet."
