"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"9e1eca-OBS-001","2000-enterprise-application-integration1-9e1eca","global-2000","","market-data","2000","EAI priority ranking for Global 2000 CIOs","EAI and e-Commerce are the two most important CIO initiatives in the Global 2000 for 2000","high","expert-opinion","eai landing page","Aberdeen's editorial assessment of CIO priority landscape"
"9e1eca-OBS-002","2000-enterprise-application-integration1-9e1eca","","eai-middleware","technology-assessment","2000","EAI market challenge: e-Commerce convergence","e-Commerce is the greatest challenge currently facing traditional EAI suppliers","high","industry-analysis","eai landing page","Aberdeen identifies eBI-EAI convergence as defining market force"
"9e1eca-OBS-003","2000-enterprise-application-integration1-9e1eca","","ebi-platforms","technology-assessment","2000","eBI-EAI convergence trajectory","Convergence between e-Business Integration (eBI) and traditional EAI is reshaping best practices for the Extended Enterprise","high","industry-analysis","eai landing page","Core thesis: EAI vendors must incorporate eBI capabilities to survive"
"9e1eca-OBS-004","2000-enterprise-application-integration1-9e1eca","","eai-middleware","market-data","2000","EAI vendor landscape growth","50 EAI supplier profiles in Third Edition (up from 19 in prior edition)","high","competitive-profiling","eai landing page","Rapid market expansion: supplier count grew 163% between report editions"
"9e1eca-OBS-005","2000-enterprise-application-integration1-9e1eca","","eai-middleware","viability-prediction","2000","EAI supplier strategy evolution","EAI suppliers must evolve strategies to incorporate e-Business capabilities","high","expert-opinion","eai landing page","Aberdeen predicts traditional EAI vendors will need eBI transformation to survive"
"9e1eca-OBS-006","2000-enterprise-application-integration1-9e1eca","","eai-middleware","viability-prediction","2000","EAI market consolidation prediction","EAI market will consolidate as e-Business demands reshape supplier landscape","medium","industry-analysis","eai landing page","Report includes section on partnering strategies and market consolidations"
"9e1eca-OBS-007","2000-enterprise-application-integration1-9e1eca","","eai-middleware","expert-opinion","1999","1998 predictions for 1999 accuracy","Report reviews 1998 predictions for 1999 and how they played out","medium","document-review","eai landing page","Self-assessment section confirms Aberdeen's track record on EAI predictions"
"9e1eca-OBS-008","2000-enterprise-application-integration1-9e1eca","","eai-middleware","actual-outcome","2007","EAI market consolidation outcome","webMethods acquired by Software AG for $546M (2007); TIBCO taken private by Vista Equity (2014); IBM MQ remained dominant","verified","document-review","n/a","Market consolidated as predicted; major independent EAI vendors acquired or taken private"
"9e1eca-OBS-009","2000-enterprise-application-integration1-9e1eca","","ebi-platforms","actual-outcome","2010","eBI-EAI convergence materialization","Cloud integration platforms (MuleSoft founded 2006; Boomi founded 2000; Dell Boomi acquired 2010) fulfilled eBI vision; MuleSoft acquired by Salesforce for $6.5B in 2018","verified","document-review","n/a","Aberdeen's eBI convergence thesis proved correct; cloud/API integration became the modern EAI paradigm"
"9e1eca-OBS-010","2000-enterprise-application-integration1-9e1eca","","eai-middleware","market-data","2000","EAI report pricing","Report priced at $2000 for 203-page market study","high","document-review","eai landing page","Premium pricing reflects high enterprise value of EAI market intelligence in 2000"
