"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"1997-broadvision-dynamic-web-application-5f10bb-OBS-001","1997-broadvision-dynamic-web-application-5f10bb","","dynamic-web-applications","framework-factor","1997","Dynamic web server tier 1 - Low-end","CGI scripts; poor scaling with large users/transactions/databases; little flexibility or system integration","high","ingest-extraction","industry-analysis","What is a Dynamic Web Application?","Aberdeen's three-tier market classification; low-end covers basic catalog servers using CGI.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-002","1997-broadvision-dynamic-web-application-5f10bb","","dynamic-web-applications","framework-factor","1997","Dynamic web server tier 2 - Mid-range","ODBC/native drivers with SQL-like query; basic cross-sell/up-sell business rules; improved database access","high","ingest-extraction","industry-analysis","What is a Dynamic Web Application?","Mid-range tier serves smaller companies for catalog-specific requirements but fails large intranet/extranet production criteria.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-003","1997-broadvision-dynamic-web-application-5f10bb","","dynamic-web-applications","framework-factor","1997","Dynamic web server tier 3 - High-end","Object-oriented middleware foundation with TP-monitor technology; maximum scalability, performance, system integration","high","ingest-extraction","industry-analysis","What is a Dynamic Web Application?","Aberdeen identifies CORBA-based OO middleware as the key to high-end tier's ability to scale and integrate.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-004","1997-broadvision-dynamic-web-application-5f10bb","broadvision","broadvision-one-to-one","benchmark-result","1997","Dynamic page generation performance - Custom CGI baseline","4,737 pages per hour (custom CGI on single-processor Sun UltraSPARC)","high","ingest-extraction","benchmarking","Table 1: Relative Performance","Source: BroadVision, Inc. benchmark data.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-005","1997-broadvision-dynamic-web-application-5f10bb","broadvision","broadvision-one-to-one","benchmark-result","1997","Dynamic page generation performance - Custom NSAPI","5,455 pages per hour (custom NSAPI on single-processor Sun UltraSPARC)","high","ingest-extraction","benchmarking","Table 1: Relative Performance","Source: BroadVision, Inc. benchmark data. ~15% improvement over custom CGI.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-006","1997-broadvision-dynamic-web-application-5f10bb","broadvision","broadvision-one-to-one","benchmark-result","1997","Dynamic page generation performance - One-to-One with CGI","21,176 pages per hour (One-to-One with CGI on single-processor Sun UltraSPARC)","high","ingest-extraction","benchmarking","Table 1: Relative Performance","Source: BroadVision, Inc. 4.5x improvement over custom CGI.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-007","1997-broadvision-dynamic-web-application-5f10bb","broadvision","broadvision-one-to-one","benchmark-result","1997","Dynamic page generation performance - One-to-One with NSAPI","51,428 pages per hour (One-to-One with NSAPI on single-processor Sun UltraSPARC); ~9,990% improvement vs. Custom CGI","high","ingest-extraction","benchmarking","Table 2: Performance Ratios","Source: BroadVision, Inc. benchmark data. One-to-One with NSAPI shows 140% improvement over One-to-One with CGI.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-008","1997-broadvision-dynamic-web-application-5f10bb","uswest","broadvision-one-to-one","benchmark-result","1997","USWest One-to-One extranet scale","Interfaces with approximately 30 mainframe systems, customer/job scheduling apps, inventory management, telephone and billing systems","high","ingest-extraction","field-research","One-to-One Extranets","USWest extranet implemented to meet FCC 1996 Telecommunications Act interconnection requirements for competitive carriers.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-009","1997-broadvision-dynamic-web-application-5f10bb","uswest","broadvision-one-to-one","expert-opinion","1997","USWest development time savings from One-to-One","USWest bought 'at least six months of development time as well as linear scalability' vs. building in-house","high","ingest-extraction","field-research","One-to-One Extranets","USWest officials stated this directly to Aberdeen; validates rapid ROI claim for One-to-One.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-010","1997-broadvision-dynamic-web-application-5f10bb","","dynamic-web-applications","market-data","1997","Internet customers as % of total sales in conventional catalog industries","1-2% of total sales from new online customers in most large conventional catalog industries","medium","ingest-extraction","industry-analysis","Short-term One-to-One ROI","Aberdeen's estimate of incremental online revenue at time of study; e-commerce was in very early growth phase.",""
"1997-broadvision-dynamic-web-application-5f10bb-OBS-011","1997-broadvision-dynamic-web-application-5f10bb","","dynamic-web-applications","market-data","1997","Web-based customer service cost vs. call center","Web-based customer service costs an order of magnitude less than call center at $2 per call","medium","ingest-extraction","industry-analysis","Short-term One-to-One ROI","UPS, FedEx cited as realizing millions in savings from web-based customer service. This cost differential has proven persistent.",""
