"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ENT-001","Dell Computer Corp.","company","technology","renamed","Dell Technologies","1984-present","2003-dell-ars-white-paper-53d13d","Primary subject; renamed Dell Inc. in 2003, then Dell Technologies after 2016 EMC merger"
"ENT-002","Aberdeen Group","analyst-firm","research","acquired","Spiceworks Ziff Davis","1988-2018","2003-dell-ars-white-paper-53d13d","Author of the white paper; acquired by Harte-Hanks in 2007, later assets moved to Spiceworks Ziff Davis"
"ENT-003","U.S. Veterans Administration","government-agency","government","active","","1930-present","2003-dell-ars-white-paper-53d13d","Cited as example of data breach from improperly wiped drives"
"ENT-004","Pennsylvania Department of Labor and Industry","government-agency","government","active","","1913-present","2003-dell-ars-white-paper-53d13d","Cited as example of data breach from improperly wiped drives"
"ENT-005","DoveBid","company","auction-services","acquired","Liquidity Services","1999-2008","2003-dell-ars-white-paper-53d13d","Referenced in context of Viant data breach; DoveBid was an IT asset auction firm, acquired by Liquidity Services"
"ENT-006","Viant Corporation","company","technology-consulting","defunct","","1996-2002","2003-dell-ars-white-paper-53d13d","Internet consulting firm whose data was exposed via improperly wiped drives sold by DoveBid"
"ENT-007","Purdue University","university","education","active","","1869-present","2003-dell-ars-white-paper-53d13d","Cited as example of data breach from improperly wiped drives"
"ENT-008","U.S. Environmental Protection Agency","government-agency","government","active","","1970-present","2003-dell-ars-white-paper-53d13d","Referenced for EPA guidelines on e-waste recycling compliance"
"ENT-009","U.S. Department of Defense","government-agency","government","active","","1947-present","2003-dell-ars-white-paper-53d13d","Referenced for DoD 5220.22M data sanitization standard"
"ENT-010","Western Digital","company","technology","active","","1970-present","2003-dell-ars-white-paper-53d13d","Western Digital Caviar drive used as example for data wiping time benchmarks"
