entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
aberdeen-group,Aberdeen Group,firm,Market Research / IT Consulting,acquired,Aberdeen/Harte-Hanks,1988-present,health~1-056358,Author organization; Boston-based market research and consulting firm.
cerner-corporation,Cerner Corporation,company,Healthcare IT,active,,1979-present,health~1-056358,Kansas City MO; $245M revenue at time of study; products: Health Network Architecture (HNA); 8 product categories.
hbo-company,HBO & Company (HBOC),company,Healthcare IT,acquired,McKesson (1999),1974-1999,health~1-056358,"Atlanta GA; 5500 employees; 1997 revenues >$1.2B; integrated HIS suites for hospitals, managed care, physician enterprises."
idx-systems,IDX Systems Corporation,company,Healthcare IT,acquired,GE Healthcare (2006),1969-2006,health~1-056358,Burlington VT; acquired Phamis in July 1997; combined revenues >$251M and 1400 customers; IDXtend flagship product.
phamis,Phamis,company,Healthcare IT,acquired,IDX Systems (1997),1980s-1997,health~1-056358,Acquired by IDX July 1997; PHAMIS-LASTWORD flagship product for large/medium HIS providers.
meditech,Medical Information Technology Inc. (MEDITECH),company,Healthcare IT,active,,1969-present,health~1-056358,Westwood MA; 1200+ customers; 1997 software license revenues $193M; founded 1969; transitioned from proprietary minicomputer to distributed care environments.
shared-medical-systems,Shared Medical Systems (SMS),company,Healthcare IT,acquired,Siemens Medical (2000),1969-2000,health~1-056358,Malvern PA; 3000+ customers worldwide; 1997 revenues >$779M; Integrated Health Networks (IHN) philosophy; Physician Enterprise Manager launched Feb 1998.
3m-health-information,3M Health Information Systems,company,Healthcare IT,active,,1970s-present,health~1-056358,Murray UT; division of 3M; focus on lifetime patient record and data repository; 3M Healthcare Enterprise Management System.
medicalogic,MedicaLogic Inc.,company,Healthcare IT,acquired,GE Healthcare (2000),1988-2000,health~1-056358,Beaverton OR; EMR-focused; Logician EMR product; open systems philosophy; ROI analysis methodology differentiator.
microsoft,Microsoft,company,Enterprise Software / OS,active,,1975-present,health~1-056358,Redmond WA; Microsoft Solutions Partners program for healthcare (800-765-7768); NT Server growing in HIS; vertical healthcare strategy since 1993.
oacis-healthcare,Oacis Healthcare Systems,company,Healthcare IT,unknown,unknown,1990s-2000s,health~1-056358,Greenbrae CA; 1997 revenues $25M (22% growth); interface engine + clinical data repository; Oacis Passport web-based CIS launched early 1997.
visteon-corporation,Visteon Corporation,company,Healthcare IT,unknown,unknown,1992-2000s,health~1-056358,Maitland FL; founded 1992; BIGVISION application portfolio; Microsoft-technology-based; targets 5-50 provider environments; equity investment from SMS.
wang-healthcare,Wang Healthcare Information Systems,company,Healthcare IT,unknown,unknown,1990s-2000s,health~1-056358,Billerica MA; formerly division of Wang Laboratories; Physicians' Workstation (PWS) clinical information system.
wang-laboratories,Wang Laboratories,company,Enterprise IT,dissolved,Getronics,1951-1999,health~1-056358,Parent company of Wang Healthcare Information Systems division.
andersen-consulting,Andersen Consulting,firm,IT Professional Services,renamed,Accenture (2001),1989-2001,health~1-056358,San Francisco CA; professional services and systems integration for HIS implementations.
computer-sciences-corporation,Computer Sciences Corporation (CSC),company,IT Professional Services,unknown,unknown,1959-present,health~1-056358,Southfield MI; CSC Healthcare division; professional services and systems integration.
national-data-corporation,National Data Corporation,company,Healthcare IT,unknown,unknown,1960s-2000s,health~1-056358,Atlanta GA; healthcare data and professional services.
saic,Science Applications International Corporation (SAIC),company,IT Professional Services / Defense,active,,1969-present,health~1-056358,San Diego CA; professional services and systems integration for healthcare.
data-general,Data General Corporation,company,Enterprise IT Hardware,acquired,EMC,1968-1999,health~1-056358,Westborough MA; systems supplier for HIS environments.
digital-equipment,Digital Equipment Corporation,company,Enterprise IT Hardware,dissolved,"Compaq (1998), HP (2002)",1957-1998,health~1-056358,Maynard MA; systems supplier for HIS environments.
hewlett-packard,Hewlett-Packard (HP),company,Enterprise IT Hardware/Services,split,HP Inc./HPE (2015),1939-present,health~1-056358,Andover MA (Medical Products Group); systems supplier for HIS environments.
ibm,IBM,company,Enterprise IT Hardware/Software/Services,active,,1911-present,health~1-056358,Waltham MA (Worldwide Healthcare Industry division); MedSpeak for Radiology speech recognition product; systems supplier for HIS environments.
sun-microsystems,Sun Microsystems,company,Enterprise IT Hardware,acquired,Oracle (2010),1982-2010,health~1-056358,Mountain View CA; systems supplier for HIS environments.
arthur-andersen,Arthur Andersen,firm,Accounting / Consulting,defunct,N/A (dissolved 2002),1913-2002,health~1-056358,Referenced as partner of Visteon for systems integration and software customization.
