"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-001","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SCRUM","technology-assessment","1995","SCRUM core principles count","5 principles: quick upfront planning, sprint teams of ≤7, progress reviews at sprint end, done when functional+quality objectives met or budget/time runs out, subsequent versions not just patches","high","DOCUMENT","1","ADM SCRUM five principles as defined in 1995 Product Management Facility description"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-002","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SCRUM","technology-assessment","1995","SCRUM phases","3 phases: Planning and System Architecture, Sprints (multiple), Closure","high","DOCUMENT","2","SCRUM three distinct phases as described in 1995 ADM methodology documentation"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-003","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SPRINT","technology-assessment","1995","Sprint team composition","1-7 members; full staffing includes developer, QA person, documentation member","high","DOCUMENT","2","Ideal Sprint team composition per ADM 1995 SCRUM definition"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-004","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SPRINT","technology-assessment","1995","Sprint duration range","1 to 6 weeks per Sprint","high","DOCUMENT","2","ADM 1995 Sprint duration; modern Scrum standardized at 1-4 weeks"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-005","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-MSFT-WIN95","TECH-WIN95","market-data","1995","Windows 95 beta program scale","400,000 beta users before completion","high","DOCUMENT","1","Microsoft Windows 95 beta program used as flagship ISV example of iterative user-involved development"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-006","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-WATERFALL","technology-assessment","1995","Traditional methodology cost assumption","fixing mistake after release costs 10-100x the cost of identifying during planning","medium","DOCUMENT","1","Classic waterfall justification for heavy upfront planning; Aberdeen contextualizes as based on slower technology cycles"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-007","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-WATERFALL","strategy-classification","1995","Enterprise IS vs ISV development priorities","Enterprise IS prioritizes cost, compatibility, functionality, quality; ISVs prioritize time-to-launch, functionality, personnel, quality (cost not primary)","high","ANALYST-ASSESSMENT","2","Aberdeen documents fundamental difference in development priority frameworks between IS and ISVs"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-008","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-MATE","technology-assessment","1995","MATE product modules","4 modules: Process Engineer, Planner, Developer, Product Management Facility (new for SCRUM)","high","DOCUMENT","3","MATE flagship product gained Product Management Facility module for SCRUM backlog/risk/issue management"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-009","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","viability-prediction","1995","SCRUM enterprise adoption prediction","IS organizations must adopt ISV-style rapid development or face growing frustration with management demands","high","ANALYST-ASSESSMENT","1","Aberdeen predicts SCRUM-type methods are necessary survival strategy for enterprise IS"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-010","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-OOP-DEV","viability-prediction","1995","OOP enterprise adoption","SCRUM will help IS unlock OOP potential; most IS orgs still not planning to use OOP for mission-critical apps","medium","ANALYST-ASSESSMENT","2","Aberdeen uses OOP unlocking as additional SCRUM benefit; OOP adoption in enterprise was still nascent in 1995"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-011","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","viability-prediction","1995","Methodologies like SCRUM not just passing fad","SCRUM is not a passing fad or one-shot fix; ISVs using it for sustained competitive advantage","high","ANALYST-ASSESSMENT","3","Aberdeen predicts SCRUM as durable methodology for sustained competitive advantage"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-012","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SCRUM","actual-outcome","2001","Agile Manifesto connection","Agile Manifesto (February 2001) codified SCRUM-aligned principles; SCRUM became one of most-adopted Agile frameworks globally","high","WEB-RESEARCH","","Sutherland and Schwaber were Agile Manifesto signatories; SCRUM Guide standardized framework. Aberdeen prediction about SCRUM durability proved exactly right."
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-013","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-WATERFALL","actual-outcome","2010","Waterfall displacement","Waterfall largely displaced by Agile/SCRUM for software development; remains in regulated industries only","high","WEB-RESEARCH","","Aberdeen 1995 prediction about waterfall inadequacy proved correct; Agile became dominant by 2005-2010"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-014","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SCRUM","actual-outcome","2020","SCRUM global adoption","SCRUM/Agile adopted by majority of software development teams globally; Scrum.org holds ADM trademarks","high","WEB-RESEARCH","","Scrum.org now holds ADM trademark portfolio; SCRUM became global standard exactly as Aberdeen predicted"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-015","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","framework-factor","1995","SCRUM name etymology","SCRUM named for rugby action (forwards quickly move ball via team skill/strength); not an acronym","high","DOCUMENT","2","ADM chose name SCRUM to communicate team effort, intensity, focus—not an acronym"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-016","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","technology-assessment","1995","Backlog concept","Backlog: approved modifications from prior Sprint assigned to teams at start of next Sprint period","high","DOCUMENT","2","Backlog concept as defined in 1995 ADM SCRUM; now central to modern Scrum practice"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-017","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","expert-opinion","1995","IS organizational resistance to SCRUM","adopting SCRUM would be radical departure from traditional methods for most in-house enterprise development groups","high","ANALYST-ASSESSMENT","1","Aberdeen acknowledges SCRUM adoption challenge; accurately predicts significant organizational change required"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-018","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SPRINT","technology-assessment","1995","SCRUM Sprint review participants","Sprint review includes teams, project manager, customers/prospects, enterprise senior executives","high","DOCUMENT","2","Cross-functional Sprint review as defined in ADM 1995 SCRUM; maps to modern Sprint Review ceremony"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-019","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-OOP-DEV","technology-assessment","1995","OOP critical requirement for SCRUM","OO tools required for SCRUM to be more than theoretical vision; tools that didn't exist even one year ago","high","DOCUMENT","3","Aberdeen identifies OO tool availability as enabling condition for SCRUM practical viability"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-020","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-WATERFALL","technology-assessment","1995","ISV failure pattern","Mainframe app suppliers failed transition to Unix/GUI; DOS app suppliers failed Windows 3 transition—inability to change fast enough","high","ANALYST-ASSESSMENT","1","Aberdeen uses ISV failure history to motivate SCRUM urgency for enterprise IS"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-021","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","market-data","1995","intellectual contributors cited","Booch, Rumbaugh, Jacobson created Unify Metamodel underpinning SCRUM intellectual basis","high","DOCUMENT","2","Aberdeen cites Three Amigos UML creators as intellectual foundation of SCRUM methodology"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-022","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SPRINT","technology-assessment","1995","OS/2 to Windows NT example of mid-Sprint change","Mid-Sprint platform change (OS/2 to Windows NT Client) assigned to teams at next Sprint start—SCRUM flexibility demonstrated","high","DOCUMENT","2","Real-world 1995 platform migration used to illustrate SCRUM backlog flexibility"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-023","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","ENT-ADM","TECH-SCRUM","market-data","1995","ADM headquarters","Burlington, Massachusetts","high","DOCUMENT","2","ADM location in December 1995 study"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-024","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","market-data","1995","study publication details","Volume 8/Number 17, December 7, 1995","high","DOCUMENT","1","Aberdeen Practice Viewpoint v8n17, December 1995"
"aberdeen-1995-upgrading-isv-methodology-enterprise-application-development-OBS-025","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development","","TECH-SCRUM","expert-opinion","1995","IS competitive advantage dependency","New technology not proprietary—competitors use same tools; SCRUM/speed-to-deliver is the competitive differentiator","high","ANALYST-ASSESSMENT","3","Aberdeen final conclusion: technology parity means development speed/methodology is competitive differentiator"
