"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"auditor-report-4-43ad9b-OBS-001","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Total transactions in 1-hour steady-state benchmark","65,637 transactions","high","ingest-extraction","audited-benchmark","4","March 2, 2004; 4,503 medical orders from 162 physicians + 1,624 nursing + 1,284 HL7 = 7,411 total orders"
"auditor-report-4-43ad9b-OBS-002","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Peak transaction rate",">1,000 transactions per minute","high","ingest-extraction","audited-benchmark","4","Sustained during the measured benchmark period"
"auditor-report-4-43ad9b-OBS-003","auditor-report-4-43ad9b","eclipsys-corp","unisys-es7000","benchmark-result","2004","Database server CPU utilization at peak load","40%","high","ingest-extraction","audited-benchmark","4","Implies significant headroom for even greater peak activity"
"auditor-report-4-43ad9b-OBS-004","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Category 1 (admin log-on/log-out) - avg response time (geometric mean)","0.54s avg (geom); 1.62s 99th pct; 6,525 transactions","high","ingest-extraction","audited-benchmark","4","Overall avg 1.12s due to doctor log-on downloading 150 patient records; log-on 99th pct = 6.74s"
"auditor-report-4-43ad9b-OBS-005","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Category 2 (enter orders) - avg response time (geometric mean)","0.12s avg (geom); 0.36s 99th pct; 17,986 transactions","high","ingest-extraction","audited-benchmark","4","Subsecond for all except group-order types; 30-patient add-order avg 11.85s"
"auditor-report-4-43ad9b-OBS-006","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Category 3 (patient administration) - avg response time (geometric mean)","0.09s avg (geom); 0.25s 99th pct; 21,549 transactions","high","ingest-extraction","audited-benchmark","4","Fully subsecond; highest transaction count category"
"auditor-report-4-43ad9b-OBS-007","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Category 4 (patient display) - avg response time (geometric mean)","0.11s avg (geom); 0.51s 99th pct; 13,073 transactions","high","ingest-extraction","audited-benchmark","4","Fully subsecond"
"auditor-report-4-43ad9b-OBS-008","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Category 5 (worklists for rounds) - avg response time (geometric mean)","0.18s avg (geom); 0.62s 99th pct; 6,504 transactions","high","ingest-extraction","audited-benchmark","4","Fully subsecond"
"auditor-report-4-43ad9b-OBS-009","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Transaction types with avg response time >1 second","8 of 82 transaction types","high","ingest-extraction","audited-benchmark","5","All 8 involved group patient order activities (batch of multiple orders submitted as one)"
"auditor-report-4-43ad9b-OBS-010","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","30-patient add-order batch transaction average response time","11.85 seconds","high","ingest-extraction","audited-benchmark","5","Represents 30 patient orders submitted as one batch; auditor observed 17s on slow Pentium III laptop"
"auditor-report-4-43ad9b-OBS-011","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","12-hour extended test total transactions","721,158 transactions over 715 minutes","high","ingest-extraction","audited-benchmark","5","Sustained >1,000 transactions/minute with no capacity constraints (memory, disk, CPU)"
"auditor-report-4-43ad9b-OBS-012","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Benchmark simulation scale vs. real hospitals","6,000-bed hospital at 5,000 orders/hour = 2.27x busiest known real hospital (2,200 orders/hour)","high","ingest-extraction","audited-benchmark","2","Exceeds Memorial Hermann (3,179 beds), NY Presbyterian (2,400 beds), Baragwanath (2,600-3,200 beds)"
"auditor-report-4-43ad9b-OBS-013","auditor-report-4-43ad9b","eclipsys-corp","mercury-loadrunner","benchmark-result","2004","Benchmark transaction type diversity","82 different transaction types","high","ingest-extraction","audited-benchmark","3","Grouped into 5 categories; includes physician, nurse, clerk orders plus HL7 interface messages"
"auditor-report-4-43ad9b-OBS-014","auditor-report-4-43ad9b","eclipsys-corp","eclipsys-sunrisexa-3-3","benchmark-result","2004","Auditor slow-laptop client test performance","Acceptable; response times similar to LoadRunner results on Pentium III 750-MHz 256MB via 11-Mbps wireless","high","ingest-extraction","direct-observation","6","Confirms older, slower client PCs acceptable for SunriseXA 3.3 without impeding user-perceived performance"
