"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"it-outsourcing-584848-obs-001","it-outsourcing-584848","aberdeen-group","it-outsourcing","survey-finding","2006","Mid-market ITO failure rate","25% of mid-market respondents admitted their companies have not been successful with IT outsourcing","high","ingest-extraction","aberdeen-survey","p1","Startling headline statistic from Aberdeen Business Value of IT Outsourcing Benchmark Report (July 2006). None of Best in Class cited lack of success.",""
"it-outsourcing-584848-obs-002","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Planning error stage — quantitative business case","Best in Class: 26% error rate; Mid-Market: 33% error rate; Gap: 7 pp","high","ingest-extraction","aberdeen-survey","p1","Figure 1: Stages Prone to Costly yet Avoidable Planning Errors. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-003","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Planning error stage — contract pricing negotiations","Best in Class: 11% error rate; Mid-Market: 27% error rate; Gap: 16 pp","high","ingest-extraction","aberdeen-survey","p1","Figure 1. Contract pricing negotiations. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-004","it-outsourcing-584848","aberdeen-group","outsourcing-governance","benchmark","2006","Planning error stage — governance","Best in Class: 11% error rate; Mid-Market: 23% error rate; Gap: 12 pp","high","ingest-extraction","aberdeen-survey","p1","Figure 1. Governance stage. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-005","it-outsourcing-584848","aberdeen-group","relationship-management","benchmark","2006","Planning error stage — ongoing operational management","Best in Class: 5% error rate; Mid-Market: 30% error rate; Gap: 25 pp","high","ingest-extraction","aberdeen-survey","p1","Figure 1. Ongoing operational management — largest gap between Best in Class and mid-market. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-006","it-outsourcing-584848","aberdeen-group","relationship-management","benchmark","2006","Challenge response — dedicated management time","Best in Class: 71%; Mid-Market: 47%","high","ingest-extraction","aberdeen-survey","p2","Figure 2: How Companies Overcome Challenges to IT Outsourcing. Best in Class significantly more likely to dedicate management time and talent. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-007","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Challenge response — escalation to outsourcer senior executive team","Best in Class: 41%; Mid-Market: 6%","high","ingest-extraction","aberdeen-survey","p2","Figure 2. Best in Class dramatically more likely to escalate when service levels fall short. Mid-market significantly less assertive. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-008","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Challenge response — replaced initial vendor account management team","Best in Class: 18%; Mid-Market: 12%","high","ingest-extraction","aberdeen-survey","p2","Figure 2. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-009","it-outsourcing-584848","aberdeen-group","outsourcing-governance","benchmark","2006","Challenge response — established cross-function outsourcing management committee","Best in Class: 31%; Mid-Market: 31%","high","ingest-extraction","aberdeen-survey","p2","Figure 2. One area where mid-market and Best in Class perform identically. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-010","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Challenge response — renegotiated contract and/or statement of work","Best in Class: 14%; Mid-Market: 17%","high","ingest-extraction","aberdeen-survey","p2","Figure 2. Mid-market slightly more likely to renegotiate. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-011","it-outsourcing-584848","aberdeen-group","it-outsourcing","benchmark","2006","Challenge response — changed internal processes to reduce variable outsourcer charges","Best in Class: 24%; Mid-Market: 31%","high","ingest-extraction","aberdeen-survey","p2","Figure 2. Saia describes mid-market changing internal processes to reduce variable charges as 'the tail wagging the dog' — a sign of suboptimal outsourcing management. Data source: AberdeenGroup July 2006 survey.",""
"it-outsourcing-584848-obs-012","it-outsourcing-584848","aberdeen-group","rfp-process","survey-finding","2006","Internal knowledge gap as failure mode","Mid-size financial services respondent cited internal 'knowledge gap' contributing to failed outsourcing — buyers must have knowledge to 'exactly state the business requirements' in RFPs","high","ingest-extraction","aberdeen-survey","p2","Qualitative finding from survey respondent. Illustrates why RFP quality matters.",""
"it-outsourcing-584848-obs-013","it-outsourcing-584848","aberdeen-group","it-outsourcing","strategic-recommendation","2006","Consulting use — Best in Class","Most Best in Class companies rely on independent consulting firms including specialized legal assistance before executing a contract","high","ingest-extraction","aberdeen-survey","p2-3","Best in Class use outside consulting (legal, benchmarking, best-practices) more than mid-market firms.",""
"it-outsourcing-584848-obs-014","it-outsourcing-584848","aberdeen-group","it-outsourcing","adoption","2006","IT outsourcing growth trajectory","IT outsourcing is growing and mid-size enterprises that want to remain competitive should at least entertain the idea","high","ingest-extraction","aberdeen-analysis","p3","Saia's market assessment: ITO adoption growing; mid-market must participate to stay competitive.",""
"it-outsourcing-584848-obs-015","it-outsourcing-584848","aberdeen-group","relationship-management","strategic-recommendation","2006","Relationship management accountability","Best practice: hold one person responsible for overseeing outsourcing relationship with right knowledge of agreement and relationship management skills","high","ingest-extraction","aberdeen-analysis","p3","Single-point-of-accountability recommendation. Enables critical decisions without escalating to other executives.",""
