"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"primos","PRIMOS","platform","Prime Computer","1972-1990s","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime's multi-functional, multi-user OS with hardware/microcode assists for throughput. User interface and ease-of-use cited as a customer pain point vs. DEC VAX/VMS."
"prime-50-series","Prime 50 Series (250-II / 550-II / 750 / 850)","platform","Prime Computer","1979-1990s","production","legacy","prime-industry-product-5-year-plan-1981-0a3546","1981 product line; CPU prices: 250-II $65K, 550-II $89K, 750 $155K, 850 $300K. Plan calls for both higher and lower P/P than current."
"prime-rabbit","Prime Rabbit","platform","Prime Computer","1981-1980s","introduced","legacy","prime-industry-product-5-year-plan-1981-0a3546","Low-end ~$40K CPU in $30-49K system price band."
"primenet","Primenet","protocol","Prime Computer","1979-1990s","production","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime's networking; ring-resource technology referenced; 'Netlink features in Rev. 18 are outstanding!'; FAP throughput improvements requested."
"medusa-cad","MEDUSA CAD","application","Prime Computer (originally Cambridge Interactive Systems)","1978-1990s","introduced","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime's structural CAD product; 'attack' market segment; sold separately from third-party CAD."
"prime-aids","Prime AIDS","application","Prime Computer","1980s","production","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime CAD tooling; complement to MEDUSA in graphics suite."
"prime-oas","Prime OA System (OAS)","application","Prime Computer","1980-1990s","introduced","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime's office-automation product; plan notes 'plagued with several problems: stability, low word processing functionality, lack of networking and ease of use.'"
"prime-uktp","Prime U-TP / UKTP Transaction Processing","application","Prime Computer","1981-1990s","in-development","legacy","prime-industry-product-5-year-plan-1981-0a3546","'Better TP than TAPS' — successor to Prime TAPS for the Fortune-1000 OLTP push."
"prime-taps","Prime TAPS","application","Prime Computer","1980-1985","production","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime TP product targeted for replacement by U-TP per Manufacturing Data Processing requirements."
"prime-midas","Prime MIDAS","platform","Prime Computer","1970s-1985","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","Prime's data-management product targeted for replacement; networked data-manipulation roadmap item."
"prime-vista","Prime Vista","application","Prime Computer","1981-1990s","in-development","legacy","prime-industry-product-5-year-plan-1981-0a3546","Database query facilities in development; specifically called for in Manufacturing Data Processing near-term needs."
"prime-mpc-4","Prime MPC-4 / HPC-4 Special","platform","Prime Computer","1981-1990s","in-development","legacy","prime-industry-product-5-year-plan-1981-0a3546","Programmable parallel-channel interface — top-priority product gap across markets; user-programmable form needed for Power Utilities/Validyne data acquisition; MPC-4 versions for Ramtek/Megatek/Lundy needed for Construction Engineering."
"vax-vms","DEC VAX (VMS)","platform","Digital Equipment Corporation","1977-2000","mature","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Identified as Prime's principal competitive benchmark across Computational, Timesharing, and Realtime segments. 'DEC will remain the competitive benchmark indefinitely.'"
"hyperchannel","Hyperchannel","protocol","Network Systems Corporation (NSC)","1977-1990s","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","High-speed mainframe-class network; identified as a top-five priority product requirement across markets; needed for IBM coexistence."
"ibm-sna","IBM SNA","protocol","IBM","1974-1990s","mature","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Lack of SNA support 'limits Prime's applicability within many major banks'; energy market needs SNA Announcement (earliest possible)."
"fortran-77","FORTRAN 77","language","industry","1978-present","current","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Compile and run-time performance improvements identified as priority across Construction Engineering, Manufacturing Engineering, Energy. Ranked #1 in Prime's future language priority."
